gene,symbol,auc,ci_lo,ci_hi,direction_flipped
ENSG00000136040,PLXNC1,0.7797979797979798,0.6543188097371565,0.8930274971941637,False
ENSG00000173914,RBM4B,0.7757575757575758,0.6504949597393817,0.8904680260488951,False
ENSG00000136235,GPNMB,0.7676767676767677,0.6383805833805832,0.8768421052631579,False
ENSG00000139874,SSTR1,0.7535353535353535,0.6315928447992101,0.8651319583033434,False
ENSG00000152484,USP12,0.7464646464646464,0.6132458847736626,0.8629122778143515,False
ENSG00000173611,SCAI,0.7454545454545455,0.607049786628734,0.869022869022869,False
ENSG00000172137,CALB2,0.7444444444444445,0.6122372372372372,0.8694858340407471,False
ENSG00000005700,IBTK,0.7434343434343434,0.6152964532587227,0.8515167464114832,False
ENSG00000143847,PPFIA4,0.7434343434343434,0.6095334685598377,0.860711366608544,False
ENSG00000101040,ZMYND8,0.7434343434343434,0.6132760032760033,0.8530761572921851,False
ENSG00000119866,BCL11A,0.7414141414141414,0.61288676761027,0.8592050958314359,False
ENSG00000110693,SOX6,0.7343434343434344,0.607049786628734,0.8551133786848072,False
ENSG00000196367,TRRAP,0.7323232323232324,0.5973483609239024,0.8503166803166803,False
ENSG00000197448,GSTK1,0.7212121212121213,0.5858585858585859,0.8434438195340832,False
ENSG00000144619,CNTN4,0.7191919191919192,0.5846934660961158,0.8444746376811593,False
ENSG00000089280,FUS,0.7191919191919192,0.5822923681257014,0.8477822580645161,False
ENSG00000164181,ELOVL7,0.7111111111111111,0.571980162285942,0.8353564491064491,False
ENSG00000104327,CALB1,0.709090909090909,0.5740700483091787,0.8395134164777021,False
ENSG00000182919,C11orf54,0.7080808080808081,0.5693676786008909,0.8292213499731617,False
ENSG00000003402,CFLAR,0.702020202020202,0.558808242631772,0.8326780913978493,False
ENSG00000132002,DNAJB1,0.696969696969697,0.5537461706692042,0.8246471774193546,False
ENSG00000135298,ADGRB3,0.693939393939394,0.5519687791239515,0.8296151667702676,False
ENSG00000140600,SH3GL3,0.6868686868686869,0.5434321542033235,0.819772227007369,False
ENSG00000164151,ICE1,0.6818181818181819,0.5315501227714317,0.8125157828282826,False
ENSG00000145050,MANF,0.6757575757575758,0.5332392969421119,0.8125,False
ENSG00000114302,PRKAR2A,0.6742424242424243,0.5277511760752688,0.8073038859827053,False
ENSG00000085719,CPNE3,0.6626262626262627,0.5170889938984492,0.7931558962808962,False
ENSG00000100600,LGMN,0.6606060606060606,0.5101199196153557,0.8025181179163032,False
ENSG00000141837,CACNA1A,0.6353535353535353,0.4808061343659722,0.7820564516129033,False
ENSG00000185513,L3MBTL1,0.6303030303030304,0.4919350765721733,0.7651255966096117,False
