gene,symbol,in_boruta,in_deg,in_overlap,log2FC,pvalue,padj
ENSG00000003402,CFLAR,True,True,True,0.4941855820628771,0.0060413540240205,0.931162346221884
ENSG00000005700,IBTK,True,True,True,-0.5624856910274979,0.0009335864054648,0.5249367602502428
ENSG00000064652,SNX24,False,True,False,-0.2110523997652516,0.0091097456373858,0.931162346221884
ENSG00000066557,LRRC40,False,True,False,-0.694599282734145,0.0039372133314143,0.931162346221884
ENSG00000085719,CPNE3,True,False,False,-0.472771262553419,0.0271879598371368,0.9613252214112156
ENSG00000089280,FUS,True,True,True,0.6849462274435189,0.002887350725337,0.8543518830444778
ENSG00000100600,LGMN,True,False,False,-0.4940885227545988,0.029162383129918,0.9701237748899372
ENSG00000100811,YY1,False,True,False,0.2857562592792302,0.009869055648188,0.931162346221884
ENSG00000101040,ZMYND8,True,True,True,0.5687042785292464,0.0009337188905198,0.5249367602502428
ENSG00000102466,FGF14,False,True,False,0.5893585364997744,0.0084030257641808,0.931162346221884
ENSG00000104327,CALB1,True,True,True,1.2138732799280734,0.0044850799952137,0.931162346221884
ENSG00000104343,UBE2W,False,True,False,-0.4810673976431207,0.008750011959814,0.931162346221884
ENSG00000108379,WNT3,False,True,False,-0.4880505264717055,0.008750011959814,0.931162346221884
ENSG00000108830,RND2,False,True,False,0.5575017730010092,0.0065676985555323,0.931162346221884
ENSG00000110693,SOX6,True,True,True,-1.0390035901435404,0.0014429753630505,0.6760339575891914
ENSG00000114302,PRKAR2A,True,False,False,0.6421121923764588,0.0179280636346651,0.9613252214112156
ENSG00000119866,BCL11A,True,True,True,0.8594363510818125,0.0010298290629904,0.5263362720120244
ENSG00000120616,EPC1,False,True,False,0.4259960716447539,0.0033012712695481,0.8837974798761854
ENSG00000125249,RAP2A,False,True,False,-0.4901105387474864,0.0031576475751134,0.8837974798761854
ENSG00000130844,ZNF331,False,True,False,0.6861878735242396,0.0068460359232746,0.931162346221884
ENSG00000132002,DNAJB1,True,True,True,0.7822460837356724,0.0074347147526906,0.931162346221884
ENSG00000135298,ADGRB3,True,True,True,-0.429495917086317,0.0084030257641808,0.931162346221884
ENSG00000136040,PLXNC1,True,True,True,1.2155355312474114,0.000141686212522,0.4967692146575624
ENSG00000136235,GPNMB,True,True,True,1.273725089578162,0.0002725729847452,0.5108017734125181
ENSG00000139874,SSTR1,True,True,True,-1.1363034736814095,0.000566025005602,0.5249367602502428
ENSG00000140600,SH3GL3,True,False,False,-0.3972525971629568,0.0111138787499094,0.931162346221884
ENSG00000141837,CACNA1A,True,False,False,0.4336155124078592,0.0661754642115616,1.0
ENSG00000143013,LMO4,False,True,False,0.595138489804788,0.0023014508477635,0.8543518830444778
ENSG00000143321,HDGF,False,True,False,0.3994975225242136,0.0048877711390163,0.931162346221884
ENSG00000143847,PPFIA4,True,True,True,0.7071479401627403,0.0009337188905198,0.5249367602502428
ENSG00000144619,CNTN4,True,True,True,-0.6730312378038813,0.002887350725337,0.8543518830444778
ENSG00000145050,MANF,True,False,False,0.5467927527531135,0.016953475524816,0.9613252214112156
ENSG00000145730,PAM,False,True,False,0.5142201835090712,0.0074347147526906,0.931162346221884
ENSG00000145833,DDX46,False,True,False,0.4410657266460586,0.0041126849962589,0.931162346221884
ENSG00000152484,USP12,True,True,True,-0.6115030569146175,0.00080503305593,0.5249367602502428
ENSG00000157445,CACNA2D3,False,True,False,0.8796336033118277,0.0074347147526906,0.931162346221884
ENSG00000159167,STC1,False,True,False,0.9333608678420166,0.0051011402821837,0.931162346221884
ENSG00000160299,PCNT,False,True,False,0.6044735798775505,0.0044850799952137,0.931162346221884
ENSG00000163602,RYBP,False,True,False,0.3231804405707297,0.0077457517051494,0.931162346221884
ENSG00000163630,SYNPR,False,True,False,-0.939569289675536,0.0084030257641808,0.931162346221884
ENSG00000164151,ICE1,True,False,False,0.6009334607479504,0.0135004521697941,0.931162346221884
ENSG00000164181,ELOVL7,True,True,True,-0.8040966421734407,0.0041126849962589,0.931162346221884
ENSG00000165186,PTCHD1,False,True,False,0.5816966113849912,0.002887350725337,0.8543518830444778
ENSG00000165655,ZNF503,False,True,False,-0.2532019159916442,0.0071349268650217,0.931162346221884
ENSG00000171634,BPTF,False,True,False,0.2903133943993422,0.0077457517051494,0.931162346221884
ENSG00000172137,CALB2,True,True,True,1.342041237814409,0.0008888447033424,0.5249367602502428
ENSG00000173141,MRPL57,False,True,False,0.502239526368878,0.0074347147526906,0.931162346221884
ENSG00000173611,SCAI,True,True,True,-0.7501269243939104,0.0008459767379691,0.5249367602502428
ENSG00000173914,RBM4B,True,True,True,0.5148933944241525,0.0001767233065306,0.4967692146575624
ENSG00000176055,MBLAC2,False,True,False,-0.9785608036563148,0.0065676985555323,0.931162346221884
ENSG00000178538,CA8,False,True,False,0.7797945229476244,0.0091097456373858,0.931162346221884
ENSG00000182919,C11orf54,True,True,True,-0.7420494065309727,0.0046825078928778,0.931162346221884
ENSG00000182985,CADM1,False,True,False,0.6556640743507665,0.002887350725337,0.8543518830444778
ENSG00000183166,CALN1,False,True,False,-0.8371950873618214,0.009869055648188,0.931162346221884
ENSG00000185043,CIB1,False,True,False,-0.7497000945840943,0.008068398713494,0.931162346221884
ENSG00000185513,L3MBTL1,True,False,False,0.5724032843468205,0.0769902063380395,1.0
ENSG00000188803,SHISA6,False,True,False,0.7286379827497054,0.0053228934242694,0.931162346221884
ENSG00000189184,PCDH18,False,True,False,-0.8427759328551544,0.0094826244837602,0.931162346221884
ENSG00000196367,TRRAP,True,True,True,0.9029476524022052,0.001586432753544,0.686071149263414
ENSG00000197448,GSTK1,True,True,True,0.5855475754909657,0.0026383344145603,0.8543518830444778
