gene,symbol,scores,log2FC,pvalue,padj,hedges_g_meta,meta_pvalue,meta_padj,I2,same_direction_datasets,is_deg,is_fdr_deg
ENSG00000136040,PLXNC1,3.812087036750024,1.2155355312474114,0.000141686212522,0.4967692146575624,1.2294639068927786,0.0196977855300862,0.9994264970432628,0.6633797301442789,4,True,False
ENSG00000173914,RBM4B,3.7570388484937056,0.5148933944241525,0.0001767233065306,0.4967692146575624,1.0319787823540092,0.0641269399989128,0.9994264970432628,0.7118885612362661,3,True,False
ENSG00000136235,GPNMB,3.6469424719810695,1.273725089578162,0.0002725729847452,0.5108017734125181,0.970446065379424,0.0447515690734146,0.9994264970432628,0.642149618228244,3,True,False
ENSG00000139874,SSTR1,-3.4542738130839563,-1.1363034736814095,0.000566025005602,0.5249367602502428,-0.9346415553753676,0.0017778003492985,0.9994264970432628,0.151995224217887,4,True,False
ENSG00000152484,USP12,-3.3579394836354,-0.6115030569146175,0.00080503305593,0.5249367602502428,-1.0614387240672607,0.0206813719394259,0.9994264970432628,0.5978617160992059,4,True,False
ENSG00000173611,SCAI,-3.3441774365713206,-0.7501269243939104,0.0008459767379691,0.5249367602502428,-0.6614467818506521,0.0117606169441065,0.9994264970432628,0.0,4,True,False
ENSG00000172137,CALB2,3.330415389507241,1.342041237814409,0.0008888447033424,0.5249367602502428,1.0371110702903217,0.090446818690448,0.9994264970432628,0.7667406608516141,3,True,False
ENSG00000005700,IBTK,-3.316653342443161,-0.5624856910274979,0.0009335864054648,0.5249367602502428,-0.8964764842736727,0.000754479870239,0.9994264970432628,0.0,4,True,False
ENSG00000101040,ZMYND8,3.316653342443161,0.5687042785292464,0.0009337188905198,0.5249367602502428,0.8919654780286039,0.0008251377956577,0.9994264970432628,0.0,4,True,False
ENSG00000143847,PPFIA4,3.316653342443161,0.7071479401627403,0.0009337188905198,0.5249367602502428,0.8241694594587151,0.020152669905058,0.9994264970432628,0.3886155480920384,4,True,False
ENSG00000119866,BCL11A,3.2891292483150023,0.8594363510818125,0.0010298290629904,0.5263362720120244,0.7031794754162113,0.0074969156973377,0.9994264970432628,0.0,4,True,False
ENSG00000110693,SOX6,-3.1927949188664457,-1.0390035901435404,0.0014429753630505,0.6760339575891914,-0.7692889853524748,0.003582764532119,0.9994264970432628,0.0,4,True,False
