gene,symbol,mean_abs_shap,mean_shap,shap_std,shap_expression_spearman,boruta_fold_frequency,core_model_rank,direction_sign,signed_importance,direction,shap_rank,single_gene_auc,single_gene_ci_lo,single_gene_ci_hi,log2FC,pvalue,padj,hedges_g_meta,I2,same_direction_datasets,is_deg,in_overlap_panel,in_core_topN
ENSG00000173914,RBM4B,0.03665583284911959,0.00048049396043006476,0.03993218025510571,0.8755760368663594,1.0,447,1,0.03665583284911959,Higher expression raises PD probability,1,0.7757575757575758,0.6504949597393817,0.8904680260488951,0.5148933944241525,0.0001767233065306,0.4967692146575624,1.0319787823540092,0.7118885612362661,3,True,True,False
ENSG00000136040,PLXNC1,0.033512391723707825,0.0026425346813131563,0.03644699114464872,0.9103302611367129,0.96,799,1,0.033512391723707825,Higher expression raises PD probability,2,0.7797979797979798,0.6543188097371565,0.8930274971941637,1.2155355312474114,0.000141686212522,0.4967692146575624,1.2294639068927786,0.6633797301442789,4,True,True,False
ENSG00000136235,GPNMB,0.029925255475548702,0.001605690568594658,0.033996233496751765,0.9381720430107525,0.92,117,1,0.029925255475548702,Higher expression raises PD probability,3,0.7676767676767677,0.6383805833805832,0.8768421052631579,1.273725089578162,0.0002725729847452,0.5108017734125181,0.970446065379424,0.642149618228244,3,True,True,False
ENSG00000173611,SCAI,0.02835046246370872,0.002152799005071111,0.030855390899875216,-0.8660234254992321,0.72,277,-1,-0.02835046246370872,Higher expression lowers PD probability,4,0.7454545454545455,0.607049786628734,0.869022869022869,-0.7501269243939104,0.0008459767379691,0.5249367602502428,-0.6614467818506521,0.0,4,True,True,False
ENSG00000164151,ICE1,0.02683096354867432,0.00023391927977486963,0.031986044840147665,0.679915514592934,0.8,977,1,0.02683096354867432,Higher expression raises PD probability,5,0.6818181818181819,0.5315501227714317,0.8125157828282826,0.6009334607479504,0.0135004521697941,0.931162346221884,0.7281949214079321,0.0200804608835861,3,False,False,False
ENSG00000101040,ZMYND8,0.02365011581957335,0.0019826433468591136,0.027580044904924786,0.7940188172043011,0.84,121,1,0.02365011581957335,Higher expression raises PD probability,6,0.7434343434343434,0.6132760032760033,0.8530761572921851,0.5687042785292464,0.0009337188905198,0.5249367602502428,0.8919654780286039,0.0,4,True,True,False
ENSG00000144619,CNTN4,0.020242632033402996,0.001309956705185574,0.024576687486488863,-0.8286290322580646,0.72,83,-1,-0.020242632033402996,Higher expression lowers PD probability,7,0.7191919191919192,0.5846934660961158,0.8444746376811593,-0.6730312378038813,0.002887350725337,0.8543518830444778,-0.627145046649201,0.0,4,True,True,False
ENSG00000003402,CFLAR,0.01944573919408334,0.0009115018209542243,0.02062862371771966,0.7742415514592934,0.56,19,1,0.01944573919408334,Higher expression raises PD probability,8,0.702020202020202,0.558808242631772,0.8326780913978493,0.4941855820628771,0.0060413540240205,0.931162346221884,0.5437844227360927,0.0,4,True,True,True
ENSG00000143847,PPFIA4,0.01811551235480311,0.0002805431584581645,0.020380478047643688,0.8651113671274963,0.76,873,1,0.01811551235480311,Higher expression raises PD probability,9,0.7434343434343434,0.6095334685598377,0.860711366608544,0.7071479401627403,0.0009337188905198,0.5249367602502428,0.8241694594587151,0.3886155480920384,4,True,True,False
ENSG00000104327,CALB1,0.01776148879876006,0.0016136127692911973,0.019322100678082956,0.8506624423963134,0.52,1686,1,0.01776148879876006,Higher expression raises PD probability,10,0.709090909090909,0.5740700483091787,0.8395134164777021,1.2138732799280734,0.0044850799952137,0.931162346221884,0.5680324755760822,0.1428310691223964,4,True,True,False
ENSG00000132002,DNAJB1,0.01706101341875426,0.0026181122333988984,0.02167544976291495,0.8278609831029186,0.56,1,1,0.01706101341875426,Higher expression raises PD probability,11,0.696969696969697,0.5537461706692042,0.8246471774193546,0.7822460837356724,0.0074347147526906,0.931162346221884,0.6789664749387754,0.0,4,True,True,True
ENSG00000172137,CALB2,0.01702344106955073,-4.214467834118737e-05,0.01883104758934823,0.8730318740399386,0.52,344,1,0.01702344106955073,Higher expression raises PD probability,12,0.7444444444444445,0.6122372372372372,0.8694858340407471,1.342041237814409,0.0008888447033424,0.5249367602502428,1.0371110702903217,0.7667406608516141,3,True,True,False
ENSG00000140600,SH3GL3,0.016733958478180152,-0.0005987976503714416,0.0217698715626042,-0.7716493855606759,0.52,722,-1,-0.016733958478180152,Higher expression lowers PD probability,13,0.6868686868686869,0.5434321542033235,0.819772227007369,-0.3972525971629568,0.0111138787499094,0.931162346221884,-0.6886622705013062,0.8067382915244914,3,False,False,False
ENSG00000197448,GSTK1,0.016424973297570707,0.0013454180744776798,0.017953763758843173,0.8911770353302612,0.36,51,1,0.016424973297570707,Higher expression raises PD probability,14,0.7212121212121213,0.5858585858585859,0.8434438195340832,0.5855475754909657,0.0026383344145603,0.8543518830444778,0.617329510174259,0.0,4,True,True,False
ENSG00000135298,ADGRB3,0.016217363154689364,0.0004407670505016439,0.01810122901947262,-0.8396697388632873,0.36,92,-1,-0.016217363154689364,Higher expression lowers PD probability,15,0.693939393939394,0.5519687791239515,0.8296151667702676,-0.429495917086317,0.0084030257641808,0.931162346221884,-0.5180780806430797,0.399074349657534,3,True,True,False
ENSG00000185513,L3MBTL1,0.01593467097180312,0.0007077651761288269,0.020754294156542463,0.6265360983102919,0.16,1045,1,0.01593467097180312,Higher expression raises PD probability,16,0.6303030303030304,0.4919350765721733,0.7651255966096117,0.5724032843468205,0.0769902063380395,1.0,0.4432309232925013,0.0,4,False,False,False
ENSG00000182919,C11orf54,0.01587264236012403,-0.0004474763419323635,0.01870046608727852,-0.9045218894009218,0.4,174,-1,-0.01587264236012403,Higher expression lowers PD probability,17,0.7080808080808081,0.5693676786008909,0.8292213499731617,-0.7420494065309727,0.0046825078928778,0.931162346221884,-0.7096280883341349,0.0383917390995868,3,True,True,False
ENSG00000005700,IBTK,0.015334465183881974,0.000291808849931977,0.01934036030618636,-0.9234701838004638,0.6,606,-1,-0.015334465183881974,Higher expression lowers PD probability,18,0.7434343434343434,0.6152964532587227,0.8515167464114832,-0.5624856910274979,0.0009335864054648,0.5249367602502428,-0.8964764842736727,0.0,4,True,True,False
