curve,curve_type,fpr,tpr,auc,ci_lo,ci_hi
ENSG00000003402,single_gene,0.0,0.0,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.0,0.030303030303030304,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.0,0.09090909090909091,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.03333333333333333,0.09090909090909091,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.03333333333333333,0.15151515151515152,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.1,0.15151515151515152,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.1,0.18181818181818182,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.13333333333333333,0.18181818181818182,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.13333333333333333,0.21212121212121213,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.16666666666666666,0.21212121212121213,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.16666666666666666,0.3333333333333333,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.2,0.3333333333333333,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.2,0.5151515151515151,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.3,0.5151515151515151,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.3,0.696969696969697,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.3333333333333333,0.696969696969697,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.3333333333333333,0.8484848484848485,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.6,0.8484848484848485,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.6,0.8787878787878788,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.8333333333333334,0.8787878787878788,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.8333333333333334,0.9393939393939394,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.9333333333333333,0.9393939393939394,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,0.9333333333333333,0.9696969696969697,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,1.0,0.9696969696969697,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000003402,single_gene,1.0,1.0,0.702020202020202,0.558808242631772,0.8326780913978493
ENSG00000005700,single_gene,0.0,0.0,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.0,0.030303030303030304,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.0,0.21212121212121213,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.03333333333333333,0.21212121212121213,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.03333333333333333,0.2727272727272727,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.1,0.2727272727272727,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.1,0.3333333333333333,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.13333333333333333,0.3333333333333333,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.13333333333333333,0.42424242424242425,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.16666666666666666,0.42424242424242425,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.16666666666666666,0.45454545454545453,0.7434343434343434,0.6152964532587227,0.8515167464114832
ENSG00000005700,single_gene,0.2,0.45454545454545453,0.7434343434343434,0.6152964532587227,0.8515167464114832
