rank,model,cv_auc,cv_accuracy,cv_bal_accuracy,cv_sensitivity,cv_specificity,cv_f1,cv_mcc,cv_brier,cv_accuracy_oob_cut,cv_auc_sd,cv_accuracy_sd,lodo_auc,lodo_accuracy,lodo_auc_GSE169755,lodo_auc_GSE182622,lodo_auc_GSE20141,lodo_auc_GSE24378
1,Ranks + PCA 30 + Random Forest,0.7253535353535352,0.692063492063492,0.6984848484848485,0.5636363636363636,0.8333333333333334,0.6566446719435122,0.4101020293140976,0.2153111238095237,0.6603174603174603,0.032448070164845,0.0365424267721312,0.6777777777777777,0.5396825396825397,1.0,0.7,0.55,0.5972222222222222
2,Boruta (perc 99) + Random Forest,0.6796969696969697,0.6158730158730159,0.6124242424242425,0.6848484848484849,0.5399999999999999,0.6507357716909956,0.2281014593006469,0.22426335873015874,0.6095238095238095,0.02789781227628931,0.04108628287474537,0.5207070707070707,0.5079365079365079,0.7777777777777779,0.5916666666666667,0.25,0.625
3,"Random Forest, all genes",0.663939393939394,0.6317460317460317,0.6266666666666667,0.7333333333333332,0.52,0.6752880400302322,0.2610440764625089,0.2302555523809523,0.6158730158730159,0.0207396885254981,0.0173880176985767,0.537878787878788,0.492063492063492,0.888888888888889,0.4833333333333334,0.3562499999999999,0.6527777777777778
4,Boruta (perc 100) + Random Forest,0.6097979797979798,0.584126984126984,0.5818181818181818,0.6303030303030303,0.5333333333333334,0.6140262021083939,0.16456108750411658,0.2671451047619048,0.5746031746031746,0.04920239243040341,0.0494362269917379,0.4545454545454546,0.4126984126984127,0.5555555555555556,0.42916666666666664,0.3375,0.5208333333333333
