gene,g_original,g_composition_removed,lineage,panel
ENSG00000000003,0.0031116927318112007,0.16318536944928985,-1.430019788432215,False
ENSG00000000419,0.05512512274314221,0.25444906953112084,0.5263356759863651,False
ENSG00000001036,-0.4284666732233887,-0.30566876956719535,-1.794149156013455,False
ENSG00000001084,-0.4909133090253679,-0.510278133819862,-2.536314006226925,False
ENSG00000001460,-0.0717261535637425,0.10241841834781393,0.0,False
ENSG00000001461,-0.10840453020018528,0.032997005209352434,0.0,False
ENSG00000001497,-0.19264570748138832,-0.07746282790904509,0.31725972851156165,False
ENSG00000001561,0.16468520465217326,-0.026301585794254564,-2.13038676584795,False
ENSG00000001629,0.03354734391821186,0.044100653986187996,-1.5853542173149986,False
ENSG00000002549,0.022570587248228403,-0.18231593665491783,-2.59019052789915,False
ENSG00000002746,-0.0828421747837324,0.2391339095561087,-2.7736465762322267,False
ENSG00000002834,-0.19593738461000915,-0.013869719212072333,-3.7543486578225647,False
ENSG00000002919,-0.2996109156938299,-0.15701620774613465,0.0,False
ENSG00000003096,-0.8085401017300409,-0.02205339887850916,-8.231444660720602,False
ENSG00000003147,-0.2408660632404058,-0.29867928309937003,0.0,False
ENSG00000003393,0.005215819636092472,0.13726298315632768,-0.80395714974957,False
ENSG00000003402,0.5732109116893354,0.323887195941328,0.7255581616174815,True
ENSG00000003509,0.12687426262599097,0.24742094706043088,-0.61172768545044,False
ENSG00000003756,0.23133381275269524,0.060810151739640314,-1.3063854114806732,False
ENSG00000004142,0.00264406256612835,0.1814461496918081,-2.0115732597048894,False
ENSG00000004455,0.3660505539754179,0.4742594424116859,0.25160982745115335,False
ENSG00000004534,0.4774570418278123,0.24458683970723427,-1.1682712342970691,False
ENSG00000004660,0.0458664021460868,0.24990391835319192,-0.3989054128083607,False
ENSG00000004766,0.14151188034704448,0.1329930307815943,0.0,False
ENSG00000004779,0.05784928305508856,0.22308520381131336,-2.06867702209638,False
ENSG00000004799,-0.037306697492876816,-0.038612762906777655,0.0,False
ENSG00000004864,-0.048515509675845205,0.06814964464422467,0.0,False
ENSG00000004897,-0.11204502522677023,0.03326678196352664,-1.577701273553215,False
ENSG00000004961,-0.03080701709933184,-0.026312661271444632,-2.08584400061453,False
ENSG00000005007,-0.019561794736619606,0.013863989090699011,-2.0156916755513974,False
ENSG00000005020,0.061885584877345017,-0.12090480023229504,1.5363365298417953,False
