gene,symbol,direction,lineage,g_original,g_composition_removed,retained
ENSG00000144619,CNTN4,down,-3.1436760383582754,-0.6435864036586293,-0.155098936655231,0.24099163029786205
ENSG00000172137,CALB2,up,3.684849617114178,0.9320974391946896,0.3334187150759143,0.357708004609454
ENSG00000136040,PLXNC1,up,7.697105127385006,1.235837193857234,0.4798199672505305,0.38825499801712565
ENSG00000104327,CALB1,up,15.367524036537558,0.6073612056215265,0.23992620204755816,0.39503050215733854
ENSG00000173914,RBM4B,up,-1.8245803708765886,1.0344046281494528,0.41592950337038137,0.40209555530941327
ENSG00000110693,SOX6,down,-18.305267876046795,-0.7985957802351605,-0.3297202931996133,0.41287507567661
ENSG00000139874,SSTR1,down,-6.7926255021864,-0.9788480832862082,-0.4377616917057488,0.44722127895075053
ENSG00000100600,LGMN,down,0.0,-0.4607446477194179,-0.24124031921115222,0.5235878927845117
ENSG00000143847,PPFIA4,up,0.9804841432914665,0.8513333155314563,0.4581508546388039,0.5381568491217767
ENSG00000119866,BCL11A,up,0.6682984775575544,0.7318789125895728,0.40422182474381396,0.5523069701702087
ENSG00000136235,GPNMB,up,-0.4989439996602775,0.9476244344716389,0.5265925718121113,0.555697544993888
ENSG00000003402,CFLAR,up,0.7255581616174815,0.5732109116893354,0.323887195941328,0.5650401786434693
ENSG00000152484,USP12,down,-4.852786355172452,-1.0090576457954827,-0.5976921199768944,0.592327031530204
ENSG00000085719,CPNE3,down,-8.94710442808607,-0.5960493789239405,-0.3640079550233129,0.6107010054778742
ENSG00000145050,MANF,up,-1.01269039561239,0.5571766551220778,0.37084848225556793,0.6655851045559594
ENSG00000135298,ADGRB3,down,0.0,-0.5174691648834802,-0.3633988778655924,0.7022618979575717
ENSG00000101040,ZMYND8,up,-1.5802246266228808,0.9158482043559069,0.6560100396257956,0.7162868655588521
ENSG00000164181,ELOVL7,down,-3.0569322013288476,-0.6961119213915252,-0.5158789483555941,0.7410862140162087
ENSG00000196367,TRRAP,up,0.55594488691528,0.8451054813948994,0.6458000290800047,0.7641649986864023
ENSG00000132002,DNAJB1,up,-2.960348980936168,0.6848264203436524,0.5344541120674984,0.7804227409907817
ENSG00000005700,IBTK,down,-1.3769266914131824,-0.9073747050182882,-0.756194700823975,0.8333874601548804
ENSG00000140600,SH3GL3,down,-4.049687891336498,-0.7854849195061964,-0.663675313066305,0.8449243220143955
ENSG00000197448,GSTK1,up,0.46397547063817157,0.6444231696601794,0.5529904730635304,0.8581169937684523
ENSG00000173611,SCAI,down,-0.17545711870464498,-0.6848237611090344,-0.6093553638991843,0.8897988044579044
ENSG00000089280,FUS,up,0.0,0.9326162241229445,0.8415586563432721,0.9023633029059673
ENSG00000114302,PRKAR2A,up,-0.036380689071914274,0.6965097470363998,0.6338615942352034,0.9100541621021674
ENSG00000182919,C11orf54,down,-0.668130964500495,-0.7379262135115654,-0.6765426519213219,0.9168161254251453
ENSG00000164151,ICE1,up,0.0,0.7434332173688621,0.6947122439161809,0.9344648956834171
ENSG00000141837,CACNA1A,up,-2.7598202991252827,0.5227284973346045,0.5471358281811464,1.0466921757107084
ENSG00000185513,L3MBTL1,up,0.018402059210336774,0.44766918110597315,0.49585853188143214,1.1076450039656662
