original | core,original | panel,composition (50 markers) | core,composition (50 markers) | panel,composition (25 markers) | core,composition (25 markers) | panel,composition (100 markers) | core,composition (100 markers) | panel,composition (200 markers) | core,composition (200 markers) | panel,SOX6_AGTR1 markers only | core,SOX6_AGTR1 markers only | panel,composition + dopamine purity | core,composition + dopamine purity | panel,person,dataset,y
0.2572,0.199,0.24559999999999998,0.25120000000000003,0.33980000000000005,0.25539999999999996,0.2938,0.21760000000000002,0.3136,0.21660000000000004,0.3606,0.174,0.3972,0.2266,C-04-52,GSE182622,0
0.3502,0.251,0.3978,0.3854,0.5254000000000001,0.46719999999999995,0.35760000000000003,0.34220000000000006,0.4224,0.3478,0.3484,0.24120000000000003,0.5096,0.3844,C-06-57,GSE182622,0
0.34400000000000003,0.3066,0.3506,0.35019999999999996,0.4112,0.3794,0.3516,0.3762,0.352,0.36119999999999997,0.46799999999999997,0.2968,0.46040000000000003,0.40259999999999996,C-07-28,GSE182622,0
0.4242,0.2676,0.352,0.3668,0.40780000000000005,0.2994,0.4112,0.3032,0.3156,0.35219999999999996,0.4732,0.23259999999999997,0.5529999999999999,0.2792,C-09-50,GSE182622,0
0.553,0.6312,0.3882,0.41479999999999995,0.46979999999999994,0.414,0.37760000000000005,0.4796,0.4408,0.4688,0.5864,0.6966,0.5154,0.5144,C-10-39,GSE182622,0
0.29460000000000003,0.4523999999999999,0.4298,0.3844,0.5953999999999999,0.4222,0.5154,0.392,0.5192,0.368,0.49960000000000004,0.2806,0.4755999999999999,0.3566,C-12-44,GSE182622,0
0.41059999999999997,0.305,0.5138,0.49139999999999995,0.6728,0.5378000000000001,0.586,0.5422,0.6022000000000001,0.4915999999999999,0.42000000000000004,0.43900000000000006,0.6316,0.5558,C-14-42,GSE182622,0
0.6414000000000001,0.5332000000000001,0.6082,0.6155999999999999,0.5956,0.5771999999999999,0.6176,0.5646,0.6562000000000001,0.5795999999999999,0.6384000000000001,0.515,0.6022000000000001,0.552,C-15-46,GSE182622,0
0.2202,0.0996,0.32380000000000003,0.3612,0.36419999999999997,0.4264,0.386,0.28240000000000004,0.3042,0.3578,0.26220000000000004,0.1224,0.3422,0.4056,C-15-60,GSE182622,0
0.3236,0.49799999999999994,0.3488,0.5566,0.40940000000000004,0.5332,0.3974,0.5056,0.3654,0.5252000000000001,0.327,0.4332,0.3383999999999999,0.49280000000000007,C-15-78,GSE182622,0
0.6716,0.6242,0.6004,0.4008,0.5860000000000001,0.36240000000000006,0.6908,0.3962,0.6382,0.38560000000000005,0.6096,0.6608,0.42560000000000003,0.3756,PD-03-43,GSE182622,1
0.5561999999999999,0.6676,0.6032,0.6037999999999999,0.5664,0.6032,0.6908000000000001,0.6246,0.6539999999999999,0.6362,0.6072,0.5928,0.5804,0.6115999999999999,PD-03-45,GSE182622,1
0.47300000000000003,0.7036,0.4074,0.5984,0.43620000000000003,0.5237999999999999,0.4716,0.6085999999999999,0.41740000000000005,0.6003999999999999,0.5044,0.7596,0.3388,0.5094,PD-06-44,GSE182622,1
0.6832,0.7114,0.561,0.6212000000000001,0.5628000000000001,0.602,0.6035999999999999,0.6073999999999999,0.6054,0.6372,0.7586,0.8512000000000001,0.7072,0.7646,PD-10-27,GSE182622,1
0.7556,0.8850000000000001,0.6468,0.8140000000000001,0.6880000000000001,0.8076000000000001,0.6632,0.8754000000000002,0.5462,0.8492,0.771,0.7789999999999999,0.6938,0.8604,PD-10-83,GSE182622,1
0.28600000000000003,0.7058,0.3516,0.7016,0.40380000000000005,0.7405999999999999,0.3574,0.6849999999999999,0.3424,0.6948000000000001,0.35219999999999996,0.5988,0.33440000000000003,0.45519999999999994,PD-11-110,GSE182622,1
0.3274,0.6768,0.34400000000000003,0.5106,0.3842,0.5024,0.3398,0.538,0.32320000000000004,0.5222,0.426,0.6982,0.3374,0.49219999999999997,PD-12-22,GSE182622,1
0.5930000000000001,0.618,0.5700000000000001,0.7552000000000001,0.5684,0.7535999999999999,0.7186,0.7672,0.6838,0.7325999999999999,0.6752,0.4316,0.6294,0.6838,PD-12-33,GSE182622,1
0.24100000000000002,0.584,0.2304,0.3822,0.2738,0.3868,0.24280000000000004,0.34059999999999996,0.2468,0.338,0.3236,0.5875999999999999,0.372,0.5122,PD-12-55,GSE182622,1
