gene,symbol,ot_release,ot_pd_overall,ot_pd_genetic,ot_pd_literature,ot_pd_animal,ot_pd_pathway,ot_pd_rna,ot_pd_drug,tractable,n_drug_candidates,hpa_sn_brain_specificity,hpa_sn_brain_distribution,hpa_sn_brain_top,hpa_brain_cluster,accessed
ENSG00000135298,ADGRB3,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SM: Structure with Ligand | AB: UniProt loc high conf | AB: GO CC high conf | AB: UniProt SigP or TMHMM | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 34: Non-specific - Mixed function,2026-09-21
ENSG00000085719,CPNE3,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AB: UniProt loc high conf | AB: GO CC high conf | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 55: Non-specific - Transcription,2026-09-21
ENSG00000144619,CNTN4,26.06,0.010729766422884354,0.0,0.03429236307527553,0.0,0.0,0.07967516433717681,0.0,AB: GO CC high conf | AB: UniProt loc med conf | AB: UniProt SigP or TMHMM | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 38: Sub-cortical - Mixed function,2026-09-21
ENSG00000173611,SCAI,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AB: UniProt SigP or TMHMM | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 23: Choroid plexus - Mixed function,2026-09-21
ENSG00000164181,ELOVL7,26.06,0.3164018480363391,0.5068845785838092,0.2635856377957975,0.0,0.0,0.01769193776049631,0.0,SM: Structure with Ligand | AB: UniProt SigP or TMHMM | PR: Database Ubiquitination,0,Cell type enriched,Detected in all,endothelial cell (1912),Cluster 47: Endothelial cells - Vasculature,2026-09-21
ENSG00000140600,SH3GL3,26.06,0.001520871221109482,0.0,0.0,0.0,0.0,0.012508588371279527,0.0,AB: UniProt loc med conf | PR: Half-life Data,0,Cell type enhanced,Detected in all,oligodendrocyte (1662),Cluster 11: White matter - Signal transduction,2026-09-21
ENSG00000182919,C11orf54,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 30: White matter - Myelination,2026-09-21
ENSG00000110693,SOX6,26.06,0.08710139641640442,0.0,0.7163759161289397,0.0,0.0,0.0,0.0,PR: UniProt Ubiquitination | PR: Database Ubiquitination,0,Cell type enhanced,Detected in all,committed oligodendrocyte precursor (4041) | oligodendrocyte precursor cell (3252),Cluster 39: Astrocytes - Mixed function,2026-09-21
ENSG00000005700,IBTK,26.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AB: UniProt loc med conf | PR: Database Ubiquitination | PR: Half-life Data,0,Low cell type specificity,Detected in all,,Cluster 55: Non-specific - Transcription,2026-09-21
ENSG00000139874,SSTR1,26.06,0.07483992057365212,0.0,0.6155299325817664,0.0,0.0,0.0,0.0,SM: Structure with Ligand | SM: High-Quality Ligand | SM: Druggable Family | AB: GO CC high conf | AB: UniProt loc med conf | AB: UniProt SigP or TMHMM | PR: Small Molecule Binder | OC: Approved Drug,8,Cell type enhanced,Detected in many,oligodendrocyte precursor cell (22),Cluster 24: Neurons - Mixed function,2026-09-21
ENSG00000152484,USP12,26.06,0.02328353084513621,0.0,0.19149820124766065,0.0,0.0,0.0,0.0,SM: Structure with Ligand | AB: UniProt loc high conf | AB: GO CC high conf | PR: Database Ubiquitination,0,Low cell type specificity,Detected in all,,Cluster 13: Oligodendrocytes - Mixed function,2026-09-21
