symbol,text,key
GPNMB,"Yes: raised in plasma across 731 Parkinson's and 59 control biosamples, tracking disease severity",diazortiz2022
CNTN4,"Measured: contactin proteins including CNTN4 were assayed in cerebrospinal fluid across dementias, among them Parkinson's disease dementia",muqaku2024
