gene,symbol,metric,panel
ENSG00000183207,RUVBL2,0.50127405,False
ENSG00000110958,PTGES3,0.5002126,False
ENSG00000139910,NOVA1,0.49999917,False
ENSG00000241878,PISD,0.49656937,False
ENSG00000017427,IGF1,0.49409074,False
ENSG00000218891,ZNF579,0.49376494,False
ENSG00000198053,SIRPA,0.49334422,False
ENSG00000123505,AMD1,0.49259084,False
ENSG00000151726,ACSL1,0.4925115,False
ENSG00000162599,NFIA,0.49246868,False
ENSG00000168785,TSPAN5,0.49191535,False
ENSG00000114796,KLHL24,0.4917119,False
ENSG00000124098,FAM210B,0.49115038,False
ENSG00000124228,DDX27,0.49100006,False
ENSG00000177108,ZDHHC22,0.49080098,False
ENSG00000188042,ARL4C,0.49011567,False
ENSG00000183454,GRIN2A,0.48979953,False
ENSG00000096401,CDC5L,0.48908007,False
ENSG00000132334,PTPRE,0.48855522,False
ENSG00000152404,CWF19L2,0.48817348,False
ENSG00000164190,NIPBL,0.48806733,False
ENSG00000131095,GFAP,0.48741925,False
ENSG00000144724,PTPRG,0.4867316,False
ENSG00000116266,STXBP3,0.48661473,False
ENSG00000090621,PABPC4,0.4860905,False
ENSG00000055044,NOP58,0.48577696,False
ENSG00000155657,TTN,0.48562002,False
ENSG00000174197,MGA,0.48535112,False
ENSG00000165169,DYNLT3,0.48489565,False
ENSG00000160310,PRMT2,0.48438597,False
ENSG00000177606,JUN,0.48436916,False
ENSG00000055118,KCNH2,0.48420173,False
ENSG00000174840,PDE12,0.48382834,False
ENSG00000037042,TUBG2,0.483819,False
ENSG00000110427,KIAA1549L,0.48220947,False
ENSG00000130299,GTPBP3,0.48134986,False
ENSG00000070495,JMJD6,0.48127916,False
ENSG00000175215,CTDSP2,0.48114863,False
ENSG00000091844,RGS17,0.48107523,False
ENSG00000126217,MCF2L,0.48047125,False
ENSG00000197461,PDGFA,0.48022854,False
ENSG00000004534,RBM6,0.47745702,False
ENSG00000118217,ATF6,0.47633013,False
ENSG00000162374,ELAVL4,0.47613204,False
ENSG00000146223,RPL7L1,0.4759714,False
ENSG00000038382,TRIO,0.47502527,False
ENSG00000110651,CD81,0.47407857,False
ENSG00000115652,UXS1,0.474031,False
ENSG00000186416,NKRF,0.47398454,False
ENSG00000144339,TMEFF2,0.47385713,False
ENSG00000141905,NFIC,0.47382367,False
ENSG00000110786,PTPN5,0.4737203,False
ENSG00000091527,CDV3,0.4734096,False
ENSG00000135090,TAOK3,0.47289658,False
ENSG00000109846,CRYAB,0.47148776,False
ENSG00000171492,LRRC8D,0.47067067,False
ENSG00000171311,EXOSC1,0.46905583,False
ENSG00000171608,PIK3CD,0.4678879,False
ENSG00000108231,LGI1,0.46510574,False
ENSG00000141098,GFOD2,0.46465755,False
ENSG00000086061,DNAJA1,0.46444812,False
ENSG00000181191,PJA1,0.46437082,False
ENSG00000156650,KAT6B,0.46322763,False
ENSG00000139190,VAMP1,0.46310556,False
ENSG00000179083,FAM133A,0.46187565,False
ENSG00000125144,MT1G,0.46093854,False
ENSG00000116161,CACYBP,0.4606528,False
ENSG00000156113,KCNMA1,0.45975268,False
ENSG00000075407,ZNF37A,0.45908222,False
ENSG00000143575,HAX1,0.45863965,False
