model,cv_auc,cv_accuracy,cv_bal_accuracy,cv_sensitivity,cv_specificity,cv_f1,cv_mcc,cv_brier,cv_accuracy_oob_cut,cv_auc_sd,cv_accuracy_sd,lodo_auc,lodo_accuracy,lodo_auc_GSE169755,lodo_auc_GSE182622,lodo_auc_GSE20141,lodo_auc_GSE24378
Ranks + PCA 30 + Random Forest,0.7253535353535352,0.692063492063492,0.6984848484848485,0.5636363636363636,0.8333333333333334,0.6566446719435122,0.41010202931409767,0.21531112380952377,0.6603174603174603,0.032448070164845064,0.03654242677213124,0.6777777777777777,0.5396825396825397,1.0,0.7,0.55,0.5972222222222222
"Random Forest, all genes",0.663939393939394,0.6317460317460317,0.6266666666666667,0.7333333333333332,0.52,0.6752880400302322,0.26104407646250893,0.23025555238095236,0.6158730158730159,0.020739688525498123,0.017388017698576716,0.537878787878788,0.49206349206349204,0.888888888888889,0.4833333333333334,0.35624999999999996,0.6527777777777778
