PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,person,dataset,y
0.0005520208132905296,0.0011717569727573618,0.0034889810837056027,-0.003435516450735186,0.00039328008495434903,-0.013274689914981921,-0.12552309370006443,-0.11769333771880912,-0.008544149353192925,-0.017158695061945114,-0.021133624821789987,-0.007129463598073588,-0.0004729976148481951,-0.004757204819113777,0.0030698501418894896,-0.006822815651437327,0.013563972203903915,-0.005386296317520111,-0.006566460692340754,0.008258029468269805,-0.006894138857876349,-0.01123933097044439,0.0086059740854316,0.013724995726512347,0.006611242601785836,-0.06591796841001234,0.02024920139211126,-0.002724491253742385,0.012687820598645,-0.01262012900615633,C-04-52,GSE182622,0
0.0002417369256816725,-0.0021399009456708356,-0.011649890168245526,-0.008197167726733037,0.0039987408884783774,0.0001724181721625017,-0.16988833434682551,0.013263285126614021,-0.011807364922860103,-0.031198481434597636,-0.023509453256829693,-0.0019389160274084854,-0.0016329012148325421,0.0014812560112237763,-0.009229662200912531,-0.004651003554278485,-0.015303058895515323,-0.009914655242223364,-0.008112832603614272,-0.007882423907598766,-0.0018083472225576148,-0.009122313129095068,-0.000810118010434384,0.00022335620427914148,-0.007651165466379673,-0.05115947132176635,0.02619036843130877,-0.0047728499726052915,-0.013565726254150447,-0.014542402974440607,C-06-57,GSE182622,0
0.0007173093683098185,-0.026248042855310225,-0.008239598145256153,-0.006038691531652086,-0.0008017480179948942,-0.011287015253636989,-0.05051310086316676,0.011881212794450096,-0.01807633213654552,-0.031579210573415256,-0.024642571290095783,-0.0006817367113964145,-0.008126351344490619,-0.007119741049296029,-0.019578791312991686,-0.0053680058254683615,-0.02062227081058631,-0.013333271881020108,-0.009441331734708496,-0.021582744854335617,-0.005204893981036085,-0.02000377991613712,0.0029491848672892423,-0.010704532274679948,0.004390783182302569,0.04950447268900025,-0.040547674559655966,-0.0002935301786358832,-0.024862603942159035,0.041537329102492214,C-07-28,GSE182622,0
-0.0017201459618104238,0.001399684385186928,-0.0016397173617695858,-0.011815640719867957,0.0012236215527896548,0.000893244789955015,0.08153762202854016,-0.15278199531521322,-0.0023326171960452017,-0.032024031792087834,-0.022270374133681766,-0.012645468144896678,0.00047440962323981107,0.005618233880456714,0.014597877486187816,0.011712559426288289,-0.008980757790251651,-0.013826158193539622,-0.020004566975858947,-0.010746188407592823,0.00663899465551109,-0.016577222838221408,0.0026920233770758176,-0.0038766000927062325,-0.027407901078746775,0.0017651533000029034,-0.07236710362013928,-0.003581035653460956,0.006798530955637648,-0.009671709224808795,C-09-50,GSE182622,0
-0.0007391470060559355,0.0015007441226306862,0.0025168496734006606,-0.01802914033504564,-0.0006260897764765593,-0.0002464532230780364,-0.16397225444144117,0.018375502703655098,0.01174745526723826,0.008137824992991967,0.021319311724604943,0.005106669924433195,-0.004780768908585246,-0.006527226583063317,0.015844059900381836,-0.005371393012354343,0.0026229868814592293,-0.010677955164037932,0.0016364330716960418,-0.01898995027917776,-0.0028537558604163757,-0.010380816607194643,0.0007573628226726285,-0.006375544939970707,-0.03340512145115363,-0.08633499082124735,0.020749399230015373,-0.0043443999333341015,-0.03343198986295175,-0.014144881149422656,C-10-39,GSE182622,0
0.002743193266623531,-0.001142701039679355,0.002602394632798245,-0.01595883177484753,0.00039275475673564603,0.0022773137119385294,-0.06369418211158354,-0.13917406904810817,0.0012483133195770458,-0.01397774086995071,-0.013024035657079578,-0.007928181526361796,0.0008892515324441756,0.000553090036918473,0.016214647342295305,-0.002118101181154147,-0.001428460445302656,-0.013123240111190143,0.0036739032308184785,0.0020986386014976563,-0.005727832324184802,-0.013766959033929715,-0.01763878251095523,-0.010714821298269832,0.007883478505924513,-0.01211526770768516,-0.04272409096441897,-0.0038447854138577604,-0.02001609874935215,-0.013376076209487393,C-12-44,GSE182622,0
-0.010646121596535033,0.0015631046827604999,-0.02005186372306532,0.0035874259558145135,-0.001899011114139405,0.004388733849052854,-0.07082129052753364,-0.13405714804472316,-0.000685029050953453,-0.012154111369223891,0.002879306432499671,0.005871227990422087,-0.004217457641945585,-0.005199717138895819,-0.0016036586469488664,0.0013476613840671485,-0.000451966672072947,-0.012337524310800894,0.0009880109699801026,-0.012605626349663545,-0.00046622757646128506,-0.013344983545045888,0.0017746936281821909,-0.011348009306090513,-0.009427933276560446,0.009408265097261845,-0.04293289591544099,-0.002123807182260537,-0.0075945952424757235,-0.011756730799030984,C-14-42,GSE182622,0
-0.007438436888700772,-0.00710927534429206,-0.011587665779750568,0.003145250609087294,-0.002306471092728007,0.0003856531792442714,-0.1548169911125378,0.036571102184111366,-0.018855099060380406,-0.017105095820713557,-0.01347466074956222,-0.009013626792664165,-0.0016736053913195418,-0.006269355055514614,0.021081933396437245,-0.005045831835145665,0.02149248219287212,-0.0135107636391457,-0.015239050354052888,0.023819542981087682,-0.0037362043853771546,0.00538619808299346,0.0036529305772837243,-0.009913334664354968,-0.010442264819302197,-0.072305243660128,-0.027002553636398318,-0.0037718372340459433,-0.01477492635598051,-0.010060078570849118,C-15-46,GSE182622,0
-0.005955399380956364,0.004950432197533907,-0.013601084536383784,-0.002761777366372246,-0.0016291876396300814,0.0015428802584742094,-0.13804317906848834,-0.09215124188917494,0.000666510661530544,-0.010184818316902631,0.0009032110191274903,-0.006957802817708954,-0.003976229329873552,0.005040472196796688,-0.021102577546700734,-0.006270729368677661,-0.011109340389353814,-0.012484609483858107,0.00013984364524330324,-0.01705731434670099,-0.003798182919113212,0.017295021370006172,-0.00037938111629897504,-0.005470825725334009,0.00022916907035745019,-0.06434447751837451,-0.021777437132410853,-0.0010616410017922253,-0.021161269720308438,-0.012406312844482483,C-15-60,GSE182622,0
-0.007849713555188783,0.000532641743367057,-0.01238448828115161,-0.0064573824051894655,-0.0032058490237863954,0.000800109799751576,-0.15693769251945308,0.011642257263662253,0.007553359980919781,0.026776207427085613,0.001811198236553546,-0.005956448007008951,-0.0065960848879175835,0.00564962196931823,-0.015377395359314297,-0.007122098454755349,-0.017063312917497953,-0.009776564585260899,0.004702682793986977,-0.017247389227270742,-0.003957673428596074,0.014826734726505015,-0.0014436617873025551,-0.005026255401919499,0.007678939763645152,-0.07245800735644446,-0.029026622110428182,-0.0006496284556286658,-0.03395444807431297,-0.012400316906194895,C-15-78,GSE182622,0
