gene,symbol,importance,rank,direction_rho,direction,top50_fold_frequency
ENSG00000196683,TOMM7,5.716288026656232e-05,4553,0.07766897081412785,higher rank -> more PD-like,0.0
ENSG00000144674,GOLGA4,5.7142521637201536e-05,4554,-0.06974846390168589,higher rank -> less PD-like,0.0
ENSG00000100647,SUSD6,5.713411854030427e-05,4555,0.1040226574500711,higher rank -> more PD-like,0.0
ENSG00000134352,IL6ST,5.7125935256811035e-05,4556,0.2701612903225658,higher rank -> more PD-like,0.0
ENSG00000147853,AK3,5.710660959032691e-05,4557,0.03278609831029006,higher rank -> more PD-like,0.0
ENSG00000163346,PBXIP1,5.710349701800004e-05,4558,0.10798420680748688,higher rank -> more PD-like,0.0
ENSG00000005812,FBXL3,5.709272734175791e-05,4559,-0.10306259600613872,higher rank -> less PD-like,0.0
ENSG00000183726,TMEM50A,5.706831920747891e-05,4560,-0.06907642089093323,higher rank -> less PD-like,0.0
ENSG00000115355,CCDC88A,5.705066936351174e-05,4561,0.030385944700459182,higher rank -> more PD-like,0.0
ENSG00000082641,NFE2L1,5.7043945412497416e-05,4562,-0.06005400543945953,higher rank -> less PD-like,0.0
ENSG00000163393,SLC22A15,5.701939464251624e-05,4563,-0.10747887864822758,higher rank -> less PD-like,0.0
ENSG00000152661,GJA1,5.701453317475449e-05,4564,0.14350690653522208,higher rank -> more PD-like,0.0
ENSG00000113161,HMGCR,5.701178468340584e-05,4565,-0.13028190143388285,higher rank -> less PD-like,0.0
ENSG00000100304,TTLL12,5.700058605505982e-05,4566,-0.17007488479261737,higher rank -> less PD-like,0.0
ENSG00000196510,ANAPC7,5.69973210749529e-05,4567,0.029617895545313282,higher rank -> more PD-like,0.0
ENSG00000005448,WDR54,5.696662446639282e-05,4568,-0.06278801843317633,higher rank -> less PD-like,0.0
ENSG00000196914,ARHGEF12,5.695853799693033e-05,4569,0.10325460829492522,higher rank -> more PD-like,0.0
ENSG00000109436,TBC1D9,5.693239775460747e-05,4570,-0.21519777265743828,higher rank -> less PD-like,0.0
ENSG00000119760,SUPT7L,5.6931681367967325e-05,4571,0.1920122887864718,higher rank -> more PD-like,0.0
ENSG00000100417,PMM1,5.690126189058194e-05,4572,0.06967729547946976,higher rank -> more PD-like,0.0
ENSG00000174106,LEMD3,5.688682643392324e-05,4573,-0.01802536992941156,higher rank -> less PD-like,0.0
ENSG00000078304,PPP2R5C,5.688647152092824e-05,4574,0.037634408602148464,higher rank -> more PD-like,0.0
ENSG00000158109,TPRG1L,5.686667813783142e-05,4575,0.034754224270351367,higher rank -> more PD-like,0.0
ENSG00000134684,YARS1,5.685366245024766e-05,4576,0.027745775729645133,higher rank -> more PD-like,0.0
ENSG00000160209,PDXK,5.6850320055481344e-05,4577,-0.03653077634163033,higher rank -> less PD-like,0.0
ENSG00000167654,ATCAY,5.684834423573346e-05,4578,0.02184139784946116,higher rank -> more PD-like,0.0
ENSG00000114554,PLXNA1,5.6802636302664966e-05,4579,0.0655241935483835,higher rank -> more PD-like,0.0
ENSG00000133703,KRAS,5.679682213355423e-05,4580,-0.002736175115207207,higher rank -> less PD-like,0.0
ENSG00000152583,SPARCL1,5.67699725019237e-05,4581,0.06994131554501372,higher rank -> more PD-like,0.0
