fpr,tpr
0.0,0.0
0.0,0.030303030303030304
0.0,0.2727272727272727
0.03333333333333333,0.2727272727272727
0.03333333333333333,0.36363636363636365
0.06666666666666667,0.36363636363636365
0.06666666666666667,0.42424242424242425
0.13333333333333333,0.42424242424242425
0.13333333333333333,0.6060606060606061
0.16666666666666666,0.6060606060606061
0.16666666666666666,0.6666666666666666
0.23333333333333334,0.6666666666666666
0.23333333333333334,0.696969696969697
0.26666666666666666,0.696969696969697
0.26666666666666666,0.7272727272727273
0.3333333333333333,0.7272727272727273
0.3333333333333333,0.7575757575757576
0.4,0.7575757575757576
0.4,0.7878787878787878
0.43333333333333335,0.7878787878787878
0.43333333333333335,0.8181818181818182
0.6333333333333333,0.8181818181818182
0.6333333333333333,0.8787878787878788
0.8,0.8787878787878788
0.8,0.9393939393939394
0.9333333333333333,0.9393939393939394
0.9333333333333333,1.0
1.0,1.0
