variant,auc,auc_sd,acc_0.5,acc_oob_cut,acc_oob_sd,bal_acc_oob_cut
ranks -> PCA 30 | mtry 0.5 | leaf 1,0.7538383838383839,0.03776852638841624,0.6825396825396826,0.6793650793650794,0.051921991218400416,0.683939393939394
ranks -> PCA 30 | mtry 0.5 | leaf 3,0.7507070707070707,0.039441825337585654,0.6952380952380952,0.6698412698412699,0.04404583150956067,0.6727272727272726
PCA 20 | mtry 0.33 | leaf 1,0.7466666666666666,0.039433740577441874,0.6761904761904762,0.6507936507936508,0.0462773959908357,0.649090909090909
PCA 25 | mtry sqrt | leaf 1,0.745959595959596,0.04325780425326035,0.6444444444444445,0.6507936507936508,0.031746031746031744,0.6509090909090908
PCA 20 | mtry sqrt | leaf 1,0.744949494949495,0.04044347822739135,0.6507936507936508,0.6253968253968253,0.05094224297105146,0.6236363636363637
ranks -> PCA 20 | mtry 0.5 | leaf 1,0.7443434343434344,0.03699369977549257,0.6888888888888889,0.6793650793650793,0.036196045241242474,0.6818181818181819
PCA 20 | mtry sqrt | leaf 3,0.7436363636363637,0.03913017107994861,0.6730158730158731,0.6412698412698412,0.0365424267721312,0.64
ranks -> PCA 20 | mtry 0.5 | leaf 3,0.7424242424242424,0.034499053248359716,0.6888888888888889,0.6666666666666666,0.038880789567986955,0.6709090909090908
PCA 40 | mtry sqrt | leaf 3,0.7404040404040405,0.016841749495487928,0.6476190476190476,0.6380952380952382,0.049436226991737865,0.6381818181818181
PCA 25 | mtry sqrt | leaf 3,0.7389898989898991,0.04014182590669941,0.6666666666666666,0.6603174603174603,0.018098022620621244,0.6615151515151515
PCA 20 | mtry 0.33 | leaf 3,0.738989898989899,0.03786599110439515,0.6761904761904762,0.6571428571428571,0.034776035397153404,0.656969696969697
PCA 20 | mtry 0.5 | leaf 1,0.7385858585858587,0.04630186682128048,0.6603174603174603,0.6571428571428571,0.03654242677213121,0.6575757575757575
PCA 25 | mtry 0.33 | leaf 1,0.7373737373737375,0.044939563083884,0.6380952380952382,0.6507936507936508,0.05143444998736396,0.6527272727272727
PCA 40 | mtry sqrt | leaf 1,0.7367676767676767,0.015771814338813618,0.6380952380952382,0.653968253968254,0.028394513999997324,0.6506060606060606
PCA 30 | mtry sqrt | leaf 3,0.7365656565656565,0.028954858631736375,0.6444444444444445,0.619047619047619,0.03367175148507372,0.6157575757575757
PCA 40 | mtry 0.33 | leaf 1,0.7365656565656565,0.014098962254702462,0.6507936507936508,0.657142857142857,0.030942204269234785,0.6563636363636364
PCA 30 | mtry 0.5 | leaf 1,0.7353535353535354,0.018335489758253876,0.6571428571428571,0.6571428571428571,0.04708697452124228,0.6587878787878788
PCA 30 | mtry 0.33 | leaf 1,0.7352525252525253,0.019525934449101258,0.6634920634920635,0.6476190476190476,0.03441187839472825,0.6472727272727272
PCA 25 | mtry 0.33 | leaf 3,0.7351515151515152,0.04387490914270223,0.6666666666666666,0.638095238095238,0.032530002431617744,0.6396969696969697
PCA 20 | mtry 0.5 | leaf 3,0.7347474747474748,0.04196237279441783,0.6698412698412699,0.6571428571428571,0.026560635762986524,0.6593939393939394
PCA 40 | mtry 0.33 | leaf 3,0.7341414141414141,0.015638634241215463,0.6571428571428571,0.638095238095238,0.030532355653446565,0.639090909090909
PCA 30 | mtry sqrt | leaf 1,0.734040404040404,0.017417287442272663,0.638095238095238,0.6507936507936507,0.015873015873015872,0.6481818181818182
PCA 25 | mtry 0.5 | leaf 1,0.733939393939394,0.04735828181472823,0.6571428571428571,0.653968253968254,0.051921991218400416,0.656969696969697
PCA 40 | mtry 0.5 | leaf 3,0.7333333333333334,0.012994626596230916,0.6730158730158731,0.638095238095238,0.04545340020087729,0.6409090909090909
PCA 30 | mtry 0.5 | leaf 3,0.7323232323232322,0.022518683646068637,0.6507936507936508,0.6476190476190476,0.04681867048810357,0.6469696969696969
PCA 30 | mtry 0.33 | leaf 3,0.7319191919191919,0.0205599603152952,0.653968253968254,0.6317460317460317,0.020695880651436994,0.6312121212121211
PCA 40 | mtry 0.5 | leaf 1,0.7316161616161617,0.015577349287848303,0.6603174603174603,0.6285714285714286,0.030942204269234785,0.63
PCA 25 | mtry 0.5 | leaf 3,0.7315151515151515,0.04490350615274618,0.6634920634920635,0.6380952380952382,0.051921991218400396,0.6396969696969697
