auc,acc_0.5,acc_oob,bal_oob
0.42121212121212126,0.4444444444444444,0.47619047619047616,0.4621212121212121
0.49696969696969695,0.5396825396825397,0.47619047619047616,0.47878787878787876
0.453030303030303,0.4126984126984127,0.3968253968253968,0.38787878787878793
0.555050505050505,0.6031746031746031,0.5873015873015873,0.5787878787878789
0.5747474747474747,0.5079365079365079,0.5396825396825397,0.5378787878787878
0.49999999999999994,0.5079365079365079,0.5079365079365079,0.4893939393939394
0.5429292929292929,0.5238095238095238,0.5555555555555556,0.546969696969697
0.5065656565656566,0.49206349206349204,0.4444444444444444,0.43787878787878787
0.6393939393939394,0.5714285714285714,0.5396825396825397,0.5378787878787878
0.4303030303030303,0.4126984126984127,0.42857142857142855,0.4242424242424242
0.5040404040404041,0.5555555555555556,0.5396825396825397,0.5242424242424243
0.28939393939393937,0.30158730158730157,0.49206349206349204,0.4712121212121212
0.46565656565656566,0.4444444444444444,0.5396825396825397,0.5242424242424243
0.5070707070707071,0.5238095238095238,0.4444444444444444,0.44393939393939397
0.6883838383838383,0.6031746031746031,0.5555555555555556,0.5484848484848486
0.6202020202020202,0.6349206349206349,0.6190476190476191,0.6090909090909091
0.46666666666666673,0.49206349206349204,0.42857142857142855,0.4181818181818182
0.5429292929292929,0.5396825396825397,0.47619047619047616,0.4575757575757576
0.5085858585858586,0.4444444444444444,0.47619047619047616,0.4636363636363636
0.43636363636363634,0.5238095238095238,0.4126984126984127,0.39999999999999997
0.405050505050505,0.42857142857142855,0.4603174603174603,0.4636363636363636
0.61010101010101,0.5714285714285714,0.5396825396825397,0.5257575757575758
0.5833333333333333,0.49206349206349204,0.49206349206349204,0.47575757575757577
0.4101010101010101,0.4603174603174603,0.4444444444444444,0.4287878787878788
0.5792929292929293,0.5555555555555556,0.47619047619047616,0.47575757575757577
0.6131313131313131,0.5714285714285714,0.5396825396825397,0.5333333333333333
0.42222222222222217,0.3968253968253968,0.4126984126984127,0.406060606060606
0.39494949494949494,0.49206349206349204,0.47619047619047616,0.4636363636363636
0.5676767676767677,0.5873015873015873,0.4444444444444444,0.4409090909090909
0.49191919191919187,0.4603174603174603,0.5238095238095238,0.5166666666666666
0.4833333333333334,0.4603174603174603,0.49206349206349204,0.48484848484848486
0.5792929292929293,0.5238095238095238,0.47619047619047616,0.4606060606060606
0.3651515151515151,0.4126984126984127,0.5238095238095238,0.5060606060606061
0.5474747474747474,0.5238095238095238,0.5238095238095238,0.5287878787878788
0.35151515151515156,0.4126984126984127,0.42857142857142855,0.42727272727272725
0.41414141414141414,0.42857142857142855,0.49206349206349204,0.4878787878787879
0.5121212121212122,0.4603174603174603,0.5238095238095238,0.5227272727272727
0.3621212121212122,0.4444444444444444,0.4444444444444444,0.43787878787878787
0.4949494949494949,0.5396825396825397,0.49206349206349204,0.4727272727272727
0.32171717171717173,0.38095238095238093,0.42857142857142855,0.41515151515151516
0.47474747474747475,0.47619047619047616,0.47619047619047616,0.47424242424242424
0.5101010101010102,0.5079365079365079,0.4603174603174603,0.4727272727272727
0.5358585858585859,0.5396825396825397,0.49206349206349204,0.47575757575757577
0.397979797979798,0.4126984126984127,0.36507936507936506,0.35454545454545455
0.5651515151515152,0.5396825396825397,0.4444444444444444,0.44545454545454544
0.39949494949494946,0.4444444444444444,0.4444444444444444,0.4318181818181818
0.45606060606060606,0.47619047619047616,0.42857142857142855,0.4257575757575758
0.5141414141414141,0.5396825396825397,0.4603174603174603,0.45151515151515154
0.5232323232323233,0.47619047619047616,0.5079365079365079,0.4939393939393939
0.5747474747474748,0.5714285714285714,0.47619047619047616,0.4696969696969697
0.4555555555555556,0.47619047619047616,0.4444444444444444,0.43333333333333335
0.6434343434343435,0.5873015873015873,0.6190476190476191,0.6166666666666667
0.5873737373737374,0.5396825396825397,0.6349206349206349,0.6333333333333333
0.4106060606060606,0.4126984126984127,0.47619047619047616,0.4696969696969697
0.4429292929292929,0.4126984126984127,0.4603174603174603,0.44999999999999996
0.4353535353535353,0.49206349206349204,0.47619047619047616,0.4575757575757576
0.5616161616161616,0.5396825396825397,0.5238095238095238,0.5075757575757576
0.39646464646464646,0.49206349206349204,0.4444444444444444,0.43333333333333335
0.5323232323232323,0.5396825396825397,0.4603174603174603,0.4484848484848485
0.35404040404040404,0.3968253968253968,0.47619047619047616,0.4621212121212121
0.41666666666666663,0.47619047619047616,0.42857142857142855,0.4257575757575758
0.49444444444444446,0.5079365079365079,0.49206349206349204,0.48636363636363633
0.5318181818181819,0.5238095238095238,0.5079365079365079,0.5181818181818182
0.46414141414141413,0.5238095238095238,0.42857142857142855,0.4242424242424242
0.5217171717171718,0.5079365079365079,0.5079365079365079,0.5075757575757576
0.4666666666666667,0.47619047619047616,0.5238095238095238,0.5
0.5368686868686869,0.5079365079365079,0.49206349206349204,0.48636363636363633
0.6055555555555555,0.6031746031746031,0.5873015873015873,0.5787878787878789
0.5040404040404041,0.4603174603174603,0.5079365079365079,0.5045454545454546
0.647979797979798,0.6031746031746031,0.5079365079365079,0.5
0.40707070707070714,0.49206349206349204,0.4603174603174603,0.4484848484848485
0.5767676767676768,0.5555555555555556,0.5555555555555556,0.5424242424242425
0.41919191919191917,0.4126984126984127,0.47619047619047616,0.4606060606060606
0.5505050505050505,0.5238095238095238,0.49206349206349204,0.4818181818181818
0.5207070707070707,0.5079365079365079,0.49206349206349204,0.4712121212121212
0.5565656565656566,0.5396825396825397,0.5873015873015873,0.5803030303030303
0.4636363636363636,0.47619047619047616,0.49206349206349204,0.47727272727272724
0.5858585858585859,0.5396825396825397,0.5079365079365079,0.5045454545454546
0.5055555555555555,0.5079365079365079,0.47619047619047616,0.4621212121212121
0.5919191919191918,0.5238095238095238,0.5714285714285714,0.5606060606060606
0.4404040404040404,0.4603174603174603,0.4126984126984127,0.4106060606060606
0.47070707070707074,0.47619047619047616,0.5079365079365079,0.5060606060606061
0.5171717171717172,0.5555555555555556,0.4444444444444444,0.4363636363636364
0.3954545454545455,0.42857142857142855,0.42857142857142855,0.4257575757575758
0.5116161616161616,0.5238095238095238,0.49206349206349204,0.5015151515151515
0.4904040404040404,0.5079365079365079,0.5396825396825397,0.5242424242424243
0.6474747474747475,0.6190476190476191,0.6349206349206349,0.6287878787878788
0.5222222222222221,0.5079365079365079,0.5238095238095238,0.5121212121212121
0.40101010101010104,0.4444444444444444,0.47619047619047616,0.4636363636363636
0.4585858585858586,0.5079365079365079,0.42857142857142855,0.4196969696969697
0.5,0.4603174603174603,0.4603174603174603,0.4484848484848485
0.3676767676767676,0.38095238095238093,0.5079365079365079,0.48787878787878786
0.6671717171717171,0.6825396825396826,0.6190476190476191,0.6166666666666667
0.5949494949494949,0.5555555555555556,0.49206349206349204,0.4833333333333333
0.5691919191919191,0.5238095238095238,0.49206349206349204,0.4893939393939394
0.5252525252525253,0.5238095238095238,0.42857142857142855,0.4257575757575758
0.509090909090909,0.5238095238095238,0.49206349206349204,0.47727272727272724
0.49343434343434345,0.49206349206349204,0.5396825396825397,0.5242424242424243
0.3696969696969697,0.4126984126984127,0.4603174603174603,0.44242424242424244
0.5045454545454546,0.49206349206349204,0.5555555555555556,0.5393939393939394
0.39949494949494957,0.5396825396825397,0.5079365079365079,0.4939393939393939
0.505050505050505,0.5238095238095238,0.47619047619047616,0.46818181818181814
0.6070707070707071,0.5873015873015873,0.49206349206349204,0.47424242424242424
0.63989898989899,0.6031746031746031,0.5714285714285714,0.5681818181818181
0.5555555555555556,0.5555555555555556,0.5238095238095238,0.5106060606060606
0.5505050505050505,0.5079365079365079,0.5396825396825397,0.5378787878787878
0.6398989898989899,0.5555555555555556,0.5079365079365079,0.5106060606060606
0.34191919191919196,0.4603174603174603,0.5238095238095238,0.5
0.5949494949494949,0.6190476190476191,0.5396825396825397,0.5424242424242425
0.4479797979797979,0.47619047619047616,0.4444444444444444,0.4409090909090909
0.598989898989899,0.5873015873015873,0.5555555555555556,0.5378787878787878
0.4469696969696969,0.4603174603174603,0.5079365079365079,0.4909090909090909
0.5434343434343435,0.5238095238095238,0.47619047619047616,0.4818181818181818
0.454040404040404,0.47619047619047616,0.5238095238095238,0.5015151515151516
0.4383838383838384,0.47619047619047616,0.4603174603174603,0.4484848484848485
0.5601010101010101,0.5714285714285714,0.49206349206349204,0.48484848484848486
0.43383838383838386,0.4444444444444444,0.4603174603174603,0.46515151515151515
0.6196969696969696,0.5555555555555556,0.5714285714285714,0.5666666666666667
0.4797979797979798,0.49206349206349204,0.49206349206349204,0.5
0.5797979797979798,0.5714285714285714,0.49206349206349204,0.4833333333333333
0.39494949494949494,0.42857142857142855,0.47619047619047616,0.4621212121212121
0.41414141414141414,0.47619047619047616,0.4603174603174603,0.4484848484848485
0.5555555555555556,0.5873015873015873,0.5079365079365079,0.5151515151515151
0.5171717171717172,0.5079365079365079,0.47619047619047616,0.4636363636363636
0.5353535353535354,0.47619047619047616,0.5396825396825397,0.5272727272727272
0.5176767676767676,0.5396825396825397,0.5555555555555556,0.556060606060606
0.3878787878787878,0.4444444444444444,0.49206349206349204,0.47575757575757577
0.5171717171717172,0.5396825396825397,0.5555555555555556,0.5621212121212121
0.48888888888888893,0.5396825396825397,0.4444444444444444,0.4303030303030303
0.3651515151515151,0.3492063492063492,0.4444444444444444,0.4363636363636364
0.5808080808080809,0.5555555555555556,0.5396825396825397,0.5363636363636364
0.48181818181818176,0.49206349206349204,0.5079365079365079,0.503030303030303
0.45101010101010097,0.3968253968253968,0.4444444444444444,0.43939393939393934
0.4762626262626263,0.4444444444444444,0.4444444444444444,0.44696969696969696
0.42424242424242425,0.4603174603174603,0.4444444444444444,0.4303030303030303
0.3883838383838384,0.4444444444444444,0.4603174603174603,0.44545454545454544
0.5055555555555555,0.49206349206349204,0.49206349206349204,0.4909090909090909
0.6005050505050505,0.5555555555555556,0.5238095238095238,0.5257575757575758
0.3414141414141414,0.3492063492063492,0.49206349206349204,0.4712121212121212
0.5252525252525252,0.5238095238095238,0.5079365079365079,0.4939393939393939
0.5515151515151515,0.5555555555555556,0.5238095238095238,0.5287878787878788
0.38585858585858585,0.5238095238095238,0.38095238095238093,0.38181818181818183
0.6540404040404041,0.6349206349206349,0.6190476190476191,0.6015151515151516
0.5606060606060606,0.5714285714285714,0.5714285714285714,0.5636363636363637
0.46060606060606063,0.5238095238095238,0.49206349206349204,0.47727272727272724
0.49595959595959593,0.47619047619047616,0.47619047619047616,0.4727272727272727
0.5313131313131313,0.5396825396825397,0.5079365079365079,0.49848484848484853
0.665151515151515,0.6666666666666666,0.5238095238095238,0.5090909090909091
0.6171717171717171,0.5873015873015873,0.6190476190476191,0.6106060606060606
0.5540404040404041,0.5079365079365079,0.5238095238095238,0.5151515151515151
0.36515151515151517,0.3968253968253968,0.3968253968253968,0.4015151515151515
0.4196969696969697,0.4126984126984127,0.4444444444444444,0.43939393939393934
0.3939393939393939,0.4444444444444444,0.47619047619047616,0.4651515151515152
0.4964646464646465,0.5555555555555556,0.5079365079365079,0.49696969696969695
