gene,symbol,g_lcm,deg,g_external,se_external,g_external_neuron_adj,se_external_neuron_adj,k_cohorts
ENSG00000003402,CFLAR,0.5437844227360927,True,0.26915452784363664,0.16900746246819506,-0.10643125480292628,0.16802743072905613,8.0
ENSG00000005700,IBTK,-0.8964764842736727,True,-0.37530333161479723,0.16875922212755132,-0.1308089177978618,0.1684110981930603,8.0
ENSG00000085719,CPNE3,-0.5581699444139162,False,0.1680141656649783,0.16774850770882457,0.22937513627814105,0.16844628879150647,8.0
ENSG00000089280,FUS,0.8925165752231696,True,-0.24309184124927627,0.1704979484944921,0.07324492447453375,0.16913116549750876,8.0
ENSG00000100600,LGMN,-0.4551895743131892,False,-0.1928663336144573,0.1679065615448762,0.128637248751018,0.16759083631548313,8.0
ENSG00000101040,ZMYND8,0.8919654780286039,True,0.5151468756466081,0.17007688790950104,0.2881492683099391,0.16775134753880655,8.0
ENSG00000104327,CALB1,0.5680324755760822,True,-0.4513923089243622,0.1702221358473219,0.4536330770674598,0.17008152338467317,8.0
ENSG00000110693,SOX6,-0.7692889853524748,True,-1.1013650552760283,0.23147266973191602,-0.4105921445076537,0.22086570912807765,4.0
ENSG00000114302,PRKAR2A,0.6889060107623163,False,-0.4616331393664251,0.17089548320099873,-0.08219141234604252,0.16735052378959664,8.0
ENSG00000119866,BCL11A,0.7031794754162113,True,-0.1424866471623464,0.1688570071892722,0.15746186786033917,0.16763686402386757,8.0
ENSG00000132002,DNAJB1,0.6789664749387754,True,0.5934771481312507,0.1725896629595637,0.3658861134130243,0.1686146992958965,8.0
ENSG00000135298,ADGRB3,-0.5180780806430797,True,-0.7929231530153118,0.17465051778560872,0.0014905646528994127,0.16705502266481898,8.0
ENSG00000136040,PLXNC1,1.2294639068927786,True,0.050385266184762724,0.16928158959617493,0.5624802781723726,0.1707811542771141,8.0
ENSG00000136235,GPNMB,0.970446065379424,True,0.34884760321967173,0.16905515395523082,0.4260457458774655,0.16887317055067777,8.0
ENSG00000139874,SSTR1,-0.9346415553753676,True,-0.5258407258148525,0.17355390829120154,-0.06961195306309365,0.1672084609334239,8.0
ENSG00000140600,SH3GL3,-0.6886622705013062,False,-0.6283574923439886,0.171007054490606,-0.15043155837280112,0.16765977657384012,8.0
ENSG00000141837,CACNA1A,0.4814977993139482,False,-0.38840454966633764,0.17321535461782578,0.07572044201082644,0.1700207571478044,8.0
ENSG00000143847,PPFIA4,0.8241694594587151,True,-0.0006393454795030184,0.16709655927723974,0.46465296592806205,0.16932628944634412,8.0
ENSG00000144619,CNTN4,-0.627145046649201,True,-0.7324448189609762,0.22196614995731365,0.0950143673360987,0.21871349993046116,4.0
ENSG00000145050,MANF,0.5501630036073192,False,0.3311424989975653,0.17116971989534188,0.3909554263137294,0.16874239865262589,8.0
ENSG00000152484,USP12,-1.0614387240672607,True,-0.8644723544578605,0.17527955282699237,-0.2114445305348097,0.16796366943374033,8.0
ENSG00000164151,ICE1,0.7281949214079321,False,0.20806791656067056,0.1688086069947552,0.1360254627703265,0.16727482120412293,8.0
ENSG00000164181,ELOVL7,-0.6831983523517949,True,0.17281424601997783,0.2171773499749529,-0.2897203324608197,0.21828493461569257,4.0
ENSG00000172137,CALB2,1.0371110702903217,True,-0.08493189020420867,0.16812183579942105,0.35343724489007056,0.16855008666527058,8.0
ENSG00000173611,SCAI,-0.6614467818506521,True,-0.06717097299299395,0.1685407052549548,0.13396209951324395,0.1674601485301352,8.0
ENSG00000173914,RBM4B,1.0319787823540092,True,0.9931358783623148,0.18033490842668154,0.6591027466602292,0.17116924044996112,8.0
ENSG00000182919,C11orf54,-0.7096280883341349,True,0.12059491145825081,0.2154115433445718,-0.15006019606719873,0.21422099403345687,4.0
ENSG00000185513,L3MBTL1,0.4432309232925013,False,0.2752331963905651,0.17046993785796338,0.09714623702997954,0.16871739747384068,8.0
ENSG00000196367,TRRAP,0.8322070656777519,True,0.13312503104718107,0.1677958892653423,0.05993088603926877,0.16732537848404302,8.0
ENSG00000197448,GSTK1,0.617329510174259,True,-0.547277647289104,0.1694440633188311,0.04373900929876351,0.16732196126604731,8.0
