gene,symbol,scores,log2FC,pvalue,padj,hedges_g_meta,meta_pvalue,meta_padj,I2,same_direction_datasets,is_deg,is_fdr_deg
ENSG00000136040,PLXNC1,3.812087036750024,1.2155355312474114,0.00014168621252209275,0.49676921465756246,1.2294639068927786,0.019697785530086203,0.9994264970432628,0.6633797301442789,4,True,False
ENSG00000173914,RBM4B,3.7570388484937056,0.5148933944241525,0.00017672330653061631,0.49676921465756246,1.0319787823540092,0.06412693999891288,0.9994264970432628,0.7118885612362661,3,True,False
ENSG00000136235,GPNMB,3.6469424719810695,1.273725089578162,0.0002725729847452071,0.5108017734125181,0.9704460653794241,0.04475156907341469,0.9994264970432628,0.642149618228244,3,True,False
ENSG00000139874,SSTR1,-3.4542738130839563,-1.1363034736814095,0.0005660250056020277,0.5249367602502428,-0.9346415553753676,0.0017778003492985612,0.9994264970432628,0.15199522421788703,4,True,False
ENSG00000152484,USP12,-3.3579394836353997,-0.6115030569146175,0.0008050330559300227,0.5249367602502428,-1.0614387240672607,0.020681371939425954,0.9994264970432628,0.5978617160992059,4,True,False
ENSG00000173611,SCAI,-3.3441774365713206,-0.7501269243939104,0.0008459767379691987,0.5249367602502428,-0.6614467818506521,0.011760616944106588,0.9994264970432628,0.0,4,True,False
ENSG00000172137,CALB2,3.330415389507241,1.342041237814409,0.0008888447033424363,0.5249367602502428,1.0371110702903215,0.09044681869044803,0.9994264970432628,0.7667406608516141,3,True,False
ENSG00000005700,IBTK,-3.3166533424431615,-0.5624856910274979,0.0009335864054648044,0.5249367602502428,-0.8964764842736727,0.0007544798702390069,0.9994264970432628,0.0,4,True,False
ENSG00000101040,ZMYND8,3.3166533424431615,0.5687042785292464,0.0009337188905198199,0.5249367602502428,0.8919654780286039,0.0008251377956577877,0.9994264970432628,0.0,4,True,False
ENSG00000143847,PPFIA4,3.3166533424431615,0.7071479401627403,0.0009337188905198199,0.5249367602502428,0.8241694594587151,0.020152669905058013,0.9994264970432628,0.38861554809203847,4,True,False
ENSG00000119866,BCL11A,3.2891292483150023,0.8594363510818125,0.0010298290629904426,0.5263362720120244,0.7031794754162113,0.0074969156973377395,0.9994264970432628,0.0,4,True,False
ENSG00000110693,SOX6,-3.1927949188664457,-1.0390035901435404,0.0014429753630505685,0.6760339575891914,-0.7692889853524748,0.00358276453211905,0.9994264970432628,0.0,4,True,False
ENSG00000196367,TRRAP,3.165270824738287,0.9029476524022053,0.0015864327535440024,0.686071149263414,0.8322070656777519,0.04406884033616321,0.9994264970432628,0.5390502978566386,3,True,False
ENSG00000143013,LMO4,3.055174448225651,0.595138489804788,0.002301450847763517,0.8543518830444778,0.7706525186681271,0.0036144394343643666,0.9994264970432628,0.0,4,True,False
ENSG00000197448,GSTK1,3.013888307033412,0.5855475754909657,0.0026383344145603843,0.8543518830444778,0.617329510174259,0.01788126090188982,0.9994264970432628,0.0,4,True,False
ENSG00000089280,FUS,2.9863642129052534,0.6849462274435189,0.002887350725337083,0.8543518830444778,0.8925165752231696,0.06371141322988516,0.9994264970432628,0.6497714393702673,4,True,False
ENSG00000144619,CNTN4,-2.9863642129052534,-0.6730312378038813,0.002887350725337083,0.8543518830444778,-0.627145046649201,0.016037717055084055,0.9994264970432628,0.0,4,True,False
ENSG00000165186,PTCHD1,2.9863642129052534,0.5816966113849912,0.002887350725337083,0.8543518830444778,0.5982037748178773,0.02220594044200585,0.9994264970432628,0.0,4,True,False
ENSG00000182985,CADM1,2.9863642129052534,0.6556640743507665,0.002887350725337083,0.8543518830444778,0.8540718297682041,0.06927897226887571,0.9994264970432628,0.6219322603954388,3,True,False
ENSG00000125249,RAP2A,-2.9588401187770943,-0.49011053874748645,0.0031576475751134924,0.8837974798761854,-0.6677070290120616,0.010679225499714954,0.9994264970432628,0.0,4,True,False
ENSG00000120616,EPC1,2.9450780717130147,0.4259960716447539,0.0033012712695481843,0.8837974798761854,0.577022657367601,0.025649718585579,0.9994264970432628,0.0,4,True,False
ENSG00000066557,LRRC40,-2.890029883456697,-0.694599282734145,0.003937213331414397,0.9311623462218839,-0.7262477564530484,0.005586286591611991,0.9994264970432628,0.0,4,True,False
ENSG00000145833,DDX46,2.8762678363926173,0.4410657266460586,0.0041126849962589826,0.9311623462218839,0.7359411935926143,0.08487764387277734,0.9994264970432628,0.5594877381515997,3,True,False
ENSG00000164181,ELOVL7,-2.8762678363926173,-0.8040966421734407,0.0041126849962589826,0.9311623462218839,-0.6831983523517949,0.008955298771232391,0.9994264970432628,0.0,4,True,False
ENSG00000104327,CALB1,2.848743742264458,1.2138732799280734,0.00448507999521374,0.9311623462218839,0.5680324755760822,0.048186722476411245,0.9994264970432628,0.14283106912239646,4,True,False
ENSG00000160299,PCNT,2.848743742264458,0.6044735798775505,0.00448507999521374,0.9311623462218839,0.5852205733111636,0.024832587461332076,0.9994264970432628,0.0,4,True,False
ENSG00000182919,C11orf54,-2.8349816952003786,-0.7420494065309727,0.004682507892877855,0.9311623462218839,-0.7096280883341349,0.008623900264302105,0.9994264970432628,0.038391739099586895,3,True,False
ENSG00000143321,HDGF,2.821219648136299,0.39949752252421367,0.004887771139016341,0.9311623462218839,0.6066045657493762,0.020106062712272128,0.9994264970432628,0.0,3,True,False
ENSG00000159167,STC1,2.8074576010722194,0.9333608678420166,0.005101140282183742,0.9311623462218839,0.7936931641089053,0.12592201281178214,0.9994264970432628,0.6828894747698923,3,True,False
ENSG00000188803,SHISA6,2.7936955540081403,0.7286379827497054,0.005322893424269466,0.9311623462218839,0.5581599098502491,0.047475814471947174,0.9994264970432628,0.1170512472025952,3,True,False
ENSG00000003402,CFLAR,2.7524094128159016,0.4941855820628771,0.006041354024020507,0.9311623462218839,0.5437844227360927,0.03658758722328364,0.9994264970432628,0.0,4,True,False
ENSG00000108830,RND2,2.7248853186877424,0.5575017730010092,0.00656769855553239,0.9311623462218839,0.6491216572380539,0.04216354115702868,0.9994264970432628,0.27992455388326143,4,True,False
ENSG00000176055,MBLAC2,-2.7248853186877424,-0.9785608036563149,0.00656769855553239,0.9311623462218839,-0.7300763765631632,0.0053892817167067895,0.9994264970432628,0.0,4,True,False
ENSG00000130844,ZNF331,2.7111232716236633,0.6861878735242396,0.006846035923274608,0.9311623462218839,0.6390293182423965,0.014609158434653999,0.9994264970432628,0.0,4,True,False
ENSG00000165655,ZNF503,-2.6973612245595837,-0.25320191599164427,0.007134926865021735,0.9311623462218839,-0.6331084487265568,0.14723382446237432,0.9994264970432628,0.5995917814929921,3,True,False
ENSG00000132002,DNAJB1,2.683599177495504,0.7822460837356724,0.007434714752690685,0.9311623462218839,0.6789664749387754,0.009183733058072793,0.9994264970432628,0.0,4,True,False
