stage,dataset,person,y,PC1,PC2,var_PC1,var_PC2
before,GSE182622,C-04-52,0,-187.2574813698584,15.942931455750683,0.6896111131231061,0.09519091201318086
before,GSE182622,C-06-57,0,-172.61796664025485,14.365302004703688,0.6896111131231061,0.09519091201318086
before,GSE182622,C-07-28,0,-126.5035323504846,18.49069839361881,0.6896111131231061,0.09519091201318086
before,GSE182622,C-09-50,0,-188.86584427782438,15.659028129909602,0.6896111131231061,0.09519091201318086
before,GSE182622,C-10-39,0,-134.7874634249246,19.367934639019936,0.6896111131231061,0.09519091201318086
before,GSE182622,C-12-44,0,-166.73290081630708,18.08171341075172,0.6896111131231061,0.09519091201318086
before,GSE182622,C-14-42,0,-139.87038160696565,12.570344802716821,0.6896111131231061,0.09519091201318086
before,GSE182622,C-15-46,0,-170.16785161588513,11.47478584222228,0.6896111131231061,0.09519091201318086
before,GSE182622,C-15-60,0,-152.3719790091946,12.038759666315302,0.6896111131231061,0.09519091201318086
before,GSE182622,C-15-78,0,-153.51077878296095,11.448274484050048,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-03-43,1,-176.37559139259577,18.829927479740558,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-03-45,1,-143.24016930193824,12.202715367003954,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-06-44,1,-186.3072866522712,12.385314071475369,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-10-27,1,-117.22330563170257,20.539586847263465,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-10-83,1,-136.66838203379166,18.075016219873213,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-11-110,1,-148.7630555831346,17.950160162966064,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-12-22,1,-154.98026927415734,19.082486952916504,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-12-33,1,-147.8422716659664,13.538747508704732,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-12-55,1,-156.63011353395575,16.54249641029856,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-13-29,1,-194.5327340181221,10.671522028109226,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-95-19,1,-145.43249845914093,11.38838275734117,0.6896111131231061,0.09519091201318086
before,GSE182622,PD-96-36,1,-127.96738999221091,12.125664427041857,0.6896111131231061,0.09519091201318086
