,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000260785,0.21470624,31.830421,0.28745463,0.3135647,0.25223905,1.3100246,0.56306577,0.8031973,9.610685,0.053813983,0.0,0.8838403
ENSG00000260788,350.75323,15.86287,23.379698,3.8595214,7.103626,3.2438948,4.4223957,2.4343674,3.673205,3.8591542,7.283647,4.6336837
ENSG00000260898,0.0534249,5.7609806,1.5291882,0.29686382,0.034833178,0.05933514,0.17330207,0.0,0.5126654,0.26833537,0.0,0.37718654
ENSG00000260990,0.0991112,0.38330775,0.013899013,0.522478,16.368994,0.089550525,0.74846274,0.55165553,4.06878,0.7804294,0.0,1.1315597
ENSG00000261083,0.59253424,0.28200874,3.1340408,1.5705608,2.6388495,2.6212142,2.9333982,5.855242,1.4000422,0.0,0.0,22.412916
ENSG00000261146,0.01394007,0.10816986,0.0,0.22475559,0.0,0.0,6.4488096,0.0,0.09199717,36.182697,0.0,0.0
ENSG00000261156,0.7393351,0.16296968,0.5266518,0.86077535,0.42690727,0.42840022,0.8661482,0.039433125,0.59488046,0.3882712,6.4413066,0.37718654
ENSG00000261161,0.010046029,0.046416387,0.0,0.008041128,0.0,0.11078598,0.041364007,14.546456,0.0,0.0,0.0,0.0
ENSG00000261170,1.1767806,1.4701377,0.0,0.6680991,1.0755157,1.045644,0.99703526,0.070252694,1.9453224,0.94113684,30.377909,0.7543731
ENSG00000261231,1.5047143,1.3395869,1.9811965,19.649925,2.054006,5.5179515,8.925274,2.8029647,2.337897,1.9362218,1.2567804,3.5778687
ENSG00000261325,0.09444645,0.08359771,0.013899013,2.0101476,0.10512833,0.0,5.3277206,0.0,0.0,0.0,0.0,0.37718654
ENSG00000261329,178.54147,13.265822,15.214031,3.1021566,8.988645,3.9197035,2.334042,2.265508,7.7180204,3.1964898,8.492858,0.37718654
ENSG00000261478,0.033139553,3.300142,0.11944015,0.64438206,10.753954,0.42840022,0.40844962,0.0,0.09199717,0.0,0.0,0.0
ENSG00000261742,0.6993952,0.85888,0.9346166,8.76281,0.8338297,0.3029909,13.205698,0.2660358,2.3245463,0.49677747,1.2567804,2.3168418
ENSG00000261786,17.913801,2.9834466,0.83436006,27.478094,18.84067,1.5791074,26.769157,1.4137677,1.0161879,25.265429,0.0,54.28213
ENSG00000261810,0.11881824,0.227563,0.0,1.6507263,0.0,0.0,1.2797431,0.0,1.8922532,2.1553648,1.2567804,5.2918267
ENSG00000261873,0.20928222,0.08250379,0.09552062,0.6900669,0.0840752,0.05933514,0.52554345,0.19633351,0.60466254,9.254577,0.0,0.37718654
ENSG00000261889,0.0857986,0.20964222,0.19581251,0.6153336,0.0,0.85298085,0.34376714,0.0,0.0,0.0,0.0,6.6807837
ENSG00000262529,0.47627476,2.46562,1.7029549,7.09829,2.7548718,42.57735,6.1280537,8.544153,6.162116,6.5158415,1.2567804,4.537454
ENSG00000262655,2.9284058,588.1416,148.95125,59.196545,36.900482,13.779804,59.693005,16.348387,103.22093,213.83212,58.084854,12.780705
ENSG00000262660,0.37513238,0.3190142,0.48501813,0.339217,0.42418995,0.28988704,0.71621704,0.4410318,0.0,0.5087844,7.6980867,0.37718654
ENSG00000263400,2.0310514,70.55167,8.677975,6.4074903,9.662664,5.950191,6.3846784,6.9545565,16.53166,5.6704464,0.0,8.621976
