,auc,auc_marker_removed,auc_DaN_removed,auc_all_neurons_removed
frozen,0.6722218787672714,0.6177204723192482,0.6321687634591409,0.660933802492796
panel,0.7721392778516206,0.7270404229304264,0.6727980244471233,0.7604732294038652
