,Oligodendrocytes,Astrocytes,Microglia,Excitatory,OPCs,Endothelial cells,Inhibitory,Pericytes,Ependymal,GABA,CADPS2+ neurons,DaNs
ENSG00000139370,37.092823,27.866278,82.44546,24.571413,70.45035,19.853035,26.38252,35.566406,17.089828,12.702443,26.083292,22.953936
ENSG00000139372,23.148827,18.751238,31.438093,29.274858,23.048956,41.54862,28.949244,47.121326,14.509111,19.477253,18.440123,23.21287
ENSG00000139405,3.8966296,5.621862,3.6190634,9.835243,5.2562675,5.1338534,13.230219,7.7266393,12.483622,15.986158,21.645967,9.881466
ENSG00000139410,5.1051126,4.7837505,7.3593373,2.6833878,0.64715725,3.6112902,3.379536,2.6879175,1.0002844,1.9051558,2.0515513,4.537454
ENSG00000139428,47.022526,20.561386,11.149444,14.889951,26.430775,13.112564,15.745858,9.955591,17.94834,16.296444,16.46879,13.642525
ENSG00000139433,215.921,32.891514,28.482536,18.577778,49.91545,63.696556,18.514227,47.44128,12.967662,14.183215,12.827696,15.065848
ENSG00000139436,57.73964,52.57473,199.37714,95.888695,62.139942,85.763565,101.7375,82.57978,37.930138,86.13018,105.534805,73.93803
ENSG00000139437,49.29701,41.908863,42.92592,24.008512,28.306292,35.837708,28.212858,25.295958,92.00108,21.827282,49.712433,25.788645
ENSG00000139438,131.91872,17.992598,11.491363,17.839485,60.491165,6.1049533,21.0637,4.0952406,8.8447075,25.75784,12.875265,32.156773
ENSG00000139445,0.04013509,0.33393902,0.0,0.22991286,0.22185637,0.089550525,0.095716216,0.55794865,1.3672577,0.026906991,0.0,0.0
ENSG00000139496,76.867676,70.95448,71.44427,87.99697,82.427925,75.465935,88.35023,83.415596,44.514786,76.80937,82.25638,74.18687
ENSG00000139505,55.544308,23.206728,42.57457,48.79708,34.728165,51.87598,62.262245,47.43479,25.345957,54.005707,34.011654,63.160374
ENSG00000139508,18.677694,20.347883,41.467552,15.622763,17.680283,34.66974,20.028652,37.184536,12.053193,12.855832,20.184212,13.644061
ENSG00000139514,25.740278,29.683123,36.335667,32.413544,32.43894,885.66833,36.99183,202.55997,12.749544,31.406134,22.474846,37.26582
ENSG00000139517,10.307597,12.40021,17.75656,19.02432,10.306733,83.79804,20.70956,31.878487,15.292552,21.094837,37.14463,23.02968
ENSG00000139531,6.7466917,12.380385,8.4741125,6.0011168,9.856906,3.9787252,7.0088344,5.927283,11.410276,10.635538,0.0,2.2631195
ENSG00000139537,5.1396832,6.917218,11.906021,13.926794,5.5381474,13.510624,14.840235,9.419742,63.645123,10.056208,2.5135608,10.842587
ENSG00000139540,0.20607327,0.42711303,0.1553572,0.071976714,0.21729523,0.14888567,0.08160736,0.0,0.0,0.09953587,0.0,0.8838403
ENSG00000139546,5.836458,9.139654,5.4642324,3.4261248,3.2097785,10.615081,3.5660322,4.8024597,5.7790623,2.1570022,27.060768,4.0087776
ENSG00000139547,1.3840791,1.1154786,0.8622883,0.43821815,1.1912314,0.031812336,0.109011956,1.4291822,0.2683944,1.4233112,0.0,0.37718654
ENSG00000139549,0.14165796,0.0,0.03799424,0.13799801,0.0,0.7539661,0.07032493,0.0,0.50809395,0.0,0.0,0.37718654
ENSG00000139567,0.22136198,0.45382422,0.56117654,0.29618472,0.7503471,213.34377,0.13838123,95.69924,0.2054641,0.30953056,0.0,0.0
ENSG00000139572,0.0,0.2105236,4.3644032,0.04261568,0.0,0.42840022,0.132273,0.039433125,0.51359665,0.0,0.0,0.0
ENSG00000139579,10.648286,8.05167,4.544154,11.880402,9.277381,16.102434,13.984167,13.927789,10.473013,11.793216,5.8218923,3.8793106
ENSG00000139597,39.268353,94.16011,94.54585,112.58752,107.897125,89.396576,112.87743,64.386345,26.652142,64.45889,66.08608,101.11324
ENSG00000139610,0.19423081,0.51699615,0.9043789,0.13774933,0.18237925,0.5497631,0.31002697,0.0,0.0,0.20801437,0.0,0.0
ENSG00000139613,41.90673,77.050446,75.253624,62.46587,63.958206,84.584114,68.665695,83.46884,61.038677,66.061554,67.04886,63.540226
ENSG00000139618,0.81294787,1.5672798,13.103005,0.9927202,1.058147,6.930145,0.8708897,2.5630977,0.82936937,0.50240624,0.0,0.0
ENSG00000139620,17.524982,10.486776,20.508581,14.458411,13.617652,17.879827,17.087843,22.711931,8.758661,16.011698,9.232712,20.271124
ENSG00000139624,45.990517,47.494324,48.47108,86.80813,60.228477,35.100796,86.693855,59.51984,37.868828,62.042988,133.60127,89.35131
ENSG00000139625,12.583022,35.00415,16.496515,18.25776,17.236055,15.765611,22.527437,16.720526,28.557583,16.586063,38.536545,15.982925
ENSG00000139626,0.5623526,1.5032479,2.6954923,0.047832653,0.09505561,0.12295981,0.19012524,0.086097285,0.46312362,0.0,0.0,0.0
ENSG00000139629,87.76194,7.705112,33.25475,1.5432965,2.4702394,1.1906834,1.6142331,1.2883021,1.7996355,1.9795815,0.0,0.37718654
ENSG00000139631,84.31272,64.85885,47.21612,77.77033,63.86871,52.09866,64.30889,72.59871,61.001617,78.32262,41.86429,57.658276
