cohort,method,donor,marker_z,da_z,y
GSE20292,nusvr,GSM508732,-0.40182018054612056,0.5483717540033832,1
GSE20292,nusvr,GSM508733,-0.19080487204462038,0.8963410307481741,0
GSE20292,nusvr,GSM508734,-0.4131630314875783,-1.4833662818121696,0
GSE20292,nusvr,GSM508735,-0.14674462607927152,1.7502027100875068,0
GSE20292,nusvr,GSM521253,-0.33904988834290234,-0.8531314328762493,0
GSE20292,nusvr,GSM606624,2.9374312864237573,-1.1181287200038281,0
GSE20292,nusvr,GSM606625,3.3158185503814415,0.5149940085618623,0
GSE20292,nusvr,GSM606626,2.506541413763472,-0.3429391713138365,0
GSE20292,music,GSM508708,-0.20420432538581387,0.25727573889088934,0
GSE20292,music,GSM508710,-0.3830577195266037,-0.14748747236700105,1
GSE20292,music,GSM508711,-0.3635507340633006,-0.11378586881000602,1
GSE20292,music,GSM508712,-0.3159606957304477,-0.05677714302066411,1
GSE20292,music,GSM508713,-0.4152658756417103,-0.2067502691464541,1
GSE20292,music,GSM508714,-0.401131370628702,-0.20272007129674485,1
GSE20292,music,GSM508715,-0.39783555845732615,-0.3311553608868093,1
GSE20292,music,GSM508716,-0.4063311080890273,-0.09783744814476149,1
GSE20292,music,GSM508717,-0.37189733778881173,-0.11232350357503933,0
GSE20292,music,GSM508718,-0.3888743389826972,-0.2904558088624941,1
GSE20292,music,GSM508720,-0.2306874035074744,0.06321857982208216,0
GSE20292,music,GSM508721,-0.3695259893670364,-0.11842886299305759,0
GSE20292,music,GSM508722,-0.2513593468427562,0.13756718244731228,0
GSE20292,music,GSM508723,-0.3400158884021384,-0.11468934679038162,0
GSE20292,music,GSM508724,-0.26400931781923687,0.1545314209697983,0
GSE20292,music,GSM508725,-0.400561350877595,-0.31685121229379637,0
GSE20292,music,GSM508726,-0.3713579834719374,-0.19274232051639667,0
GSE20292,music,GSM508728,-0.3712260431169795,-0.2325174537137666,1
GSE20292,music,GSM508729,-0.3460137061836788,-0.18491659248862852,0
GSE20292,music,GSM508730,-0.3290440009708822,-0.1778057486930501,0
GSE20292,music,GSM508731,-0.3462985572140215,-0.3697185219841324,1
GSE20292,music,GSM508732,-0.40182018054612056,-0.1352481364642268,1
GSE20292,music,GSM508733,-0.19080487204462038,0.049907601107316624,0
GSE20292,music,GSM508734,-0.4131630314875783,-0.09644611397071357,0
GSE20292,music,GSM508735,-0.14674462607927152,0.3388475580587045,0
GSE20292,music,GSM521253,-0.33904988834290234,-0.04079716118038905,0
GSE20292,music,GSM606624,2.9374312864237573,0.587412032410761,0
GSE20292,music,GSM606625,3.3158185503814415,4.5623733507646955,0
GSE20292,music,GSM606626,2.506541413763472,-2.6116790472730655,0
GSE20163,nnls,GSM505996,0.9415880743579088,0.9888607633538394,0
GSE20163,nnls,GSM505997,0.3244202095032193,-0.9240522978256357,0
GSE20163,nnls,GSM505998,0.7541628322429869,1.1818831083498196,0
GSE20163,nnls,GSM505999,0.8086971656853692,0.7697116705162864,0
GSE20163,nnls,GSM506000,0.6105295740713874,0.561128974701722,0
