gene,symbol,name,direction,hedges_g_discovery,p_discovery,deg,boruta_fold_frequency,shap_rank,single_gene_auc,g_external_neuron_adjusted,replicates_in_bulk,dopamine_lineage_score,top_subtype_marker,pd_association_open_targets,pd_genetic_association,pd_literature,best_pathway_neighbours,summary
ENSG00000003402,CFLAR,CASP8 and FADD like apoptosis regulator,up,0.5437844227360927,0.0060413540240205,True,0.56,8,0.702020202020202,-0.1064312548029262,False,0.7255581616174815,CALB1_GEM,0.004506821005738447,0.0,0.03706689168770857,"Apoptosis WP254 (WikiPathways; p=4.5e-02, FDR=0.74)",The protein encoded by this gene is a regulator of apoptosis and is structurally similar to caspase-8.
ENSG00000141837,CACNA1A,calcium voltage-gated channel subunit alpha1 A,up,0.4814977993139482,0.0661754642115616,False,0.24,29,0.6353535353535353,0.0757204420108264,True,-2.7598202991252827,SOX6_AGTR1,0.3604482300567952,0.0,0.23011679363041723,"Cellular Response To Amyloid-Beta (GO:1904646) (GO:BP; p=8.9e-02, FDR=0.74)","Voltage-dependent calcium channels mediate the entry of calcium ions into excitable cells, and are also involved in a variety of calcium-dependent processes, including muscle contraction, hormone or neurotransmitter release, and gene expression."
ENSG00000185513,L3MBTL1,L3MBTL histone methyl-lysine binding protein 1,up,0.4432309232925013,0.0769902063380395,False,0.16,16,0.6303030303030304,0.0971462370299795,True,0.018402059210336774,CALB1_GEM,0.0,0.0,0.0,"Regulation Of Mitotic Nuclear Division (GO:0007088) (GO:BP; p=4.6e-02, FDR=0.74)",This gene represents a polycomb group gene.
ENSG00000100600,LGMN,legumain,down,-0.4551895743131892,0.029162383129918,False,0.2,26,0.6606060606060606,0.128637248751018,False,0.0,,0.08162707293605113,0.0,0.6713516839148433,"Cellular Response To Amyloid-Beta (GO:1904646) (GO:BP; p=8.9e-02, FDR=0.74)",This gene encodes a cysteine protease that has a strict specificity for hydrolysis of asparaginyl bonds.
ENSG00000135298,ADGRB3,adhesion G protein-coupled receptor B3,down,-0.5180780806430797,0.0084030257641808,True,0.36,15,0.693939393939394,0.0014905646528994,False,0.0,,0.0,0.0,0.0,"Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189) (GO:BP; p=3.1e-01, FDR=0.74)","This p53-target gene encodes a brain-specific angiogenesis inhibitor, a seven-span transmembrane protein, and is thought to be a member of the secretin receptor family."
ENSG00000085719,CPNE3,copine 3,down,-0.5581699444139162,0.0271879598371368,False,0.4,19,0.6626262626262627,0.2293751362781411,False,-8.94710442808607,SOX6_AGTR1,0.0,0.0,0.0,"Receptor Tyrosine Kinase Binding (GO:0030971) (GO:MF; p=2.7e-01, FDR=0.74)",Calcium-dependent membrane-binding proteins may regulate molecular events at the interface of the cell membrane and cytoplasm.
ENSG00000144619,CNTN4,contactin 4,down,-0.627145046649201,0.002887350725337,True,0.72,7,0.7191919191919192,0.0950143673360987,False,-3.1436760383582754,SOX6_AGTR1,0.010729766422884354,0.0,0.03429236307527553,"Neuron Cell-Cell Adhesion (GO:0007158) (GO:BP; p=8.6e-02, FDR=0.74)",This gene encodes a member of the contactin family of immunoglobulins.
ENSG00000173611,SCAI,suppressor of cancer cell invasion,down,-0.6614467818506521,0.0008459767379691,True,0.72,4,0.7454545454545455,0.1339620995132439,False,-0.17545711870464498,CALB1_PPP1R17,0.0,0.0,0.0,"Negative Regulation Of Ras Protein Signal Transduction (GO:0046580) (GO:BP; p=3.0e-01, FDR=0.74)",This gene encodes a regulator of cell migration.
ENSG00000164181,ELOVL7,ELOVL fatty acid elongase 7,down,-0.6831983523517949,0.0041126849962589,True,0.4,21,0.7111111111111111,-0.2897203324608198,True,-3.0569322013288476,SOX6_AGTR1,0.3164018480363391,0.5068845785838092,0.2635856377957975,"fatty-acyl-CoA Biosynthetic Process (GO:0046949) (GO:BP; p=2.6e-01, FDR=0.74)",Enables fatty acid elongase activity.
ENSG00000140600,SH3GL3,"SH3 domain containing GRB2 like 3, endophilin A3",down,-0.6886622705013062,0.0111138787499094,False,0.52,13,0.6868686868686869,-0.150431558372801,True,-4.049687891336498,SOX6_AGTR1,0.001520871221109482,0.0,0.0,"10Q22Q23 Copy Number Variation WP5402 (WikiPathways; p=1.8e-01, FDR=0.74)",Enables identical protein binding activity.
ENSG00000182919,C11orf54,beta-keto-L-gulonate decarboxylase,down,-0.7096280883341349,0.0046825078928778,True,0.4,17,0.7080808080808081,-0.1500601960671987,True,-0.668130964500495,SOX6_GFRA2,0.0,0.0,0.0,"Zinc Ion Binding (GO:0008270) (GO:MF; p=3.2e-01, FDR=0.74)","Enables hydrolase activity, acting on ester bonds and zinc ion binding activity."
ENSG00000110693,SOX6,SRY-box transcription factor 6,down,-0.7692889853524748,0.0014429753630505,True,0.36,24,0.7343434343434344,-0.4105921445076537,True,-18.305267876046795,SOX6_AGTR1,0.08710349652799698,0.0,0.7163931887494486,"Brain Development (GO:0007420) (GO:BP; p=3.0e-01, FDR=0.74)",This gene encodes a member of the D subfamily of sex determining region y-related transcription factors that are characterized by a conserved DNA-binding domain termed the high mobility group box and by their ability to bind the minor groove of DNA.
ENSG00000005700,IBTK,inhibitor of Bruton tyrosine kinase,down,-0.8964764842736727,0.0009335864054648,True,0.6,18,0.7434343434343434,-0.1308089177978617,True,-1.3769266914131824,SOX6_AGTR1,0.0,0.0,0.0,"Negative Regulation Of Protein Modification Process (GO:0031400) (GO:BP; p=3.8e-01, FDR=0.74)","Bruton tyrosine kinase (BTK) is a protein tyrosine kinase that is expressed in B cells, macrophages, and neutrophils."
ENSG00000139874,SSTR1,somatostatin receptor 1,down,-0.9346415553753676,0.000566025005602,True,0.48,27,0.7535353535353535,-0.0696119530630936,True,-6.7926255021864,SOX6_DDT,0.07483992057365212,0.0,0.6155299325817664,"GPCRs Class A Rhodopsin Like WP455 (WikiPathways; p=9.0e-02, FDR=0.74)","Somatostatins are peptide hormones that regulate diverse cellular functions such as neurotransmission, cell proliferation, and endocrine signaling as well as inhibiting the release of many hormones and other secretory proteins."
ENSG00000152484,USP12,ubiquitin specific peptidase 12,down,-1.0614387240672607,0.00080503305593,True,0.48,23,0.7464646464646464,-0.2114445305348096,True,-4.852786355172452,SOX6_AGTR1,0.02328353084513621,0.0,0.19149820124766065,"Ub-specific Processing Proteases R-HSA-5689880 (Reactome; p=5.0e-01, FDR=0.74)",Enables cysteine-type endopeptidase activity and thiol-dependent deubiquitinase.
