gene,symbol,g,lineage,agtr1,direction
ENSG00000003402,CFLAR,0.5437844227360927,0.7255581616174815,0.0,up
ENSG00000005700,IBTK,-0.8964764842736727,-1.3769266914131824,5.507706765652729,down
ENSG00000085719,CPNE3,-0.5581699444139162,-8.94710442808607,19.9044490148078,down
ENSG00000089280,FUS,0.8925165752231696,0.0,0.0,up
ENSG00000100600,LGMN,-0.4551895743131892,0.0,0.0,down
ENSG00000101040,ZMYND8,0.8919654780286039,-1.5802246266228808,3.3070169673295906,up
ENSG00000104327,CALB1,0.5680324755760822,15.367524036537558,0.0,up
ENSG00000110693,SOX6,-0.7692889853524748,-18.305267876046795,33.9233747272828,down
ENSG00000114302,PRKAR2A,0.6889060107623163,-0.036380689071914274,0.0,up
ENSG00000119866,BCL11A,0.7031794754162113,0.6682984775575544,0.0,up
ENSG00000132002,DNAJB1,0.6789664749387754,-2.960348980936168,0.0,up
ENSG00000135298,ADGRB3,-0.5180780806430797,0.0,0.0,down
ENSG00000136040,PLXNC1,1.2294639068927786,7.697105127385006,0.0,up
ENSG00000136235,GPNMB,0.970446065379424,-0.4989439996602775,1.99577599864111,up
ENSG00000139874,SSTR1,-0.9346415553753676,-6.7926255021864,12.9592033244406,down
ENSG00000140600,SH3GL3,-0.6886622705013062,-4.049687891336498,13.5264765892975,down
ENSG00000141837,CACNA1A,0.4814977993139482,-2.7598202991252827,9.9975772021282,up
ENSG00000143847,PPFIA4,0.8241694594587151,0.9804841432914665,0.0,up
ENSG00000144619,CNTN4,-0.627145046649201,-3.1436760383582754,12.4733454787059,down
ENSG00000145050,MANF,0.5501630036073192,-1.01269039561239,0.0,up
ENSG00000152484,USP12,-1.0614387240672607,-4.852786355172452,12.7178284236506,down
ENSG00000164151,ICE1,0.7281949214079321,0.0,0.0,up
ENSG00000164181,ELOVL7,-0.6831983523517949,-3.0569322013288476,9.56613032923843,down
ENSG00000172137,CALB2,1.0371110702903217,3.684849617114178,0.0,up
ENSG00000173611,SCAI,-0.6614467818506521,-0.17545711870464498,0.0,down
ENSG00000173914,RBM4B,1.0319787823540092,-1.8245803708765886,0.0,up
ENSG00000182919,C11ORF54,-0.7096280883341349,-0.668130964500495,0.0,down
ENSG00000185513,L3MBTL1,0.4432309232925013,0.018402059210336774,0.0,up
ENSG00000196367,TRRAP,0.8322070656777519,0.55594488691528,0.0,up
ENSG00000197448,GSTK1,0.617329510174259,0.46397547063817157,0.0,up
