library,term,size,anchors,direction,neighbours,shift,p,fwer,fdr,neighbour_median_percentile,top_neighbours
GO:BP,Positive Regulation Of Protein Phosphorylation (GO:0001934),122,GPNMB,up,121,-0.010354745633753925,0.5456908618276345,1.0,0.7378152777777778,0.5064034151547492,"IGF1, PDGFA, CD81, HAX1, SEMA4D, HSP90AA1"
KEGG,Drug metabolism,23,GSTK1,up,22,-0.012672107095237483,0.5458908218356329,1.0,0.7378152777777778,0.4670046246887229,"MAOB, DUT, CMPK1, GSTM3, IMPDH1, MGST3"
Reactome,MAPK Family Signaling Cascades R-HSA-5683057,141,DNAJB1,up,140,-0.01181626977299207,0.5470905818836233,1.0,0.7378152777777778,0.45384204909284953,"FGFR1, AGO3, JUN, PDGFA, TNRC6B, JAK1"
GO:BP,Positive Regulation Of Developmental Process (GO:0051094),93,SOX6,down,92,-0.015996434211600623,0.5478904219156169,1.0,0.7378152777777778,0.4760761294912842,"ACVR1, PINK1, DLG4, BRD9, KRT10, SIN3A"
GO:BP,Negative Regulation Of Sequestering Of Calcium Ion (GO:0051283),11,IBTK,down,10,-0.015600083768367768,0.5488902219556089,1.0,0.7378152777777778,0.5041800071149057,"ITPR1, DRD2, PLCG1, PLCH1, CHERP, PLCB1"
GO:BP,Positive Regulation Of Cell Differentiation (GO:0045597),83,SOX6,down,82,-0.01512919272091694,0.5490901819636073,1.0,0.7378152777777778,0.4991995731056563,"GDPD5, ACVR1, TGFBR2, AGTR1, LMO3, SIN3A"
Reactome,Acetylcholine Neurotransmitter Release Cycle R-HSA-264642,11,PPFIA4,up,10,-0.019856397062540054,0.5506898620275945,1.0,0.7378152777777778,0.4816791177516898,"SNAP25, RAB3A, PPFIA1, CPLX1, STXBP1, VAMP2"
KEGG,Long-term depression,35,CACNA1A,up,34,-0.011585022706319304,0.5508898220355929,1.0,0.7378152777777778,0.45624332977588045,"PRKCB, IGF1R, IGF1, PLCB4, GNAO1, MAPK1"
GO:BP,Inorganic Cation Transmembrane Transport (GO:0098662),84,CACNA1A,up,83,-0.012298363110847232,0.5532893421315737,1.0,0.7378152777777778,0.4829242262540021,"CLU, KCNH2, SLC24A2, SLC41A1, CCDC51, CACNB1"
WikiPathways,Myometrial Relaxation And Contraction Pathways WP289,68,PRKAR2A,up,67,-0.014486033219232489,0.5550889822035593,1.0,0.7378152777777778,0.47171824973319104,"RGS2, PRKCB, JUN, RGS17, RAMP1, YWHAB"
WikiPathways,Sudden Infant Death Syndrome SIDS Susceptibility Pathways WP706,70,"PRKAR2A, SSTR1",down,68,-0.01606871623559581,0.5552889422115577,1.0,0.7378152777777778,0.47981145499822125,"BHLHE40, RORA, HIF1A, HDAC9, EN1, PRKAR2B"
Reactome,Intracellular Signaling By Second Messengers R-HSA-9006925,141,PRKAR2A,up,140,-0.015048421897725867,0.5556888622275545,1.0,0.7378152777777778,0.44005691924582,"FGFR1, AGO3, CSNK2A2, PIP4K2C, JUN, PDGFA"
Reactome,Phase II - Conjugation Of Compounds R-HSA-156580,27,GSTK1,up,26,-0.014990268991543697,0.5556888622275545,1.0,0.7378152777777778,0.5420668801138385,"GSTM3, MAT2B, COMT, MAT2A, GCLM, N6AMT1"
KEGG,Synaptic vesicle cycle,47,CACNA1A,up,46,-0.019481537423258567,0.5568886222755449,1.0,0.7378152777777778,0.5358413376022768,"SLC18A1, AP2S1, DNM1, SNAP25, CLTA, RAB3A"
GO:BP,Negative Regulation Of Apoptotic Signaling Pathway (GO:2001234),38,CFLAR,up,37,-0.012765943727179154,0.5574885022995401,1.0,0.7378152777777778,0.508537886872999,"CLU, CSNK2A2, IGF1, RELA, BDNF, PHIP"
Reactome,Regulation Of TP53 Activity R-HSA-5633007,63,L3MBTL1,up,62,-0.014030481238038309,0.5584883023395321,1.0,0.7378152777777778,0.3886517253646389,"CSNK2A2, PIP4K2C, NUAK1, GATAD2A, TAF3, PHF20"
KEGG,Human T-cell leukemia virus 1 infection,78,TRRAP,up,77,-0.015362799869148762,0.5588882223555289,1.0,0.7378152777777778,0.4082177161152615,"BUB3, JUN, PIK3CD, CALR, JAK1, KAT2B"
KEGG,Calcium signaling pathway,73,CACNA1A,up,72,-0.012732601622701623,0.5590881823635273,1.0,0.7378152777777778,0.4582888651725365,"PRKCB, FGFR1, GRIN2A, PDGFA, PLCB4, P2RX5"
GO:BP,Cellular Response To Lipid (GO:0071396),57,SSTR1,down,56,-0.017127132600372925,0.5598880223955209,1.0,0.7378152777777778,0.4316079686944148,"WNT3, MGST1, ADCY3, SETX, TNIP1, RORA"
KEGG,Type II diabetes mellitus,20,CACNA1A,up,19,-0.017648099284423024,0.5612877424515097,1.0,0.7378152777777778,0.4756314478833156,"PIK3CD, INSR, MAPK1, HK1, IRS1, IRS2"
GO:BP,Plasma Membrane Bounded Cell Projection Organization (GO:0120036),59,"CNTN4, MANF",down,57,-0.022192058161619985,0.5618876224755049,1.0,0.7378152777777778,0.49786552828175024,"TPM1, CNTNAP2, TBC1D23, KIFAP3, RASGRF1, CDK16"
GO:BP,DNA Damage Response (GO:0006974),139,TRRAP,up,138,-0.015286310339697462,0.563887222555489,1.0,0.7378152777777778,0.44165777303450726,"EP400, YY1, BOK, NIPBL, TAOK3, REXO4"
GO:CC,Dendrite (GO:0030425),138,"CALB1, CALB2",up,136,-0.016349274307739345,0.5640871825634873,1.0,0.7378152777777778,0.428139452152259,"NSG1, CLU, COBL, ELAVL4, SORBS2, MARK3"
GO:CC,Chromosome (GO:0005694),56,L3MBTL1,up,55,-0.017104769608175214,0.564887022595481,1.0,0.7378152777777778,0.4902170046246887,"DDX27, JUN, HNRNPU, SPIDR, BMS1, SMC2"
Reactome,Post-translational Modification: Synthesis Of GPI-anchored Proteins R-HSA-163125,20,CNTN4,down,19,-0.02299494972746623,0.5650869826034793,1.0,0.7378152777777778,0.4110636784062611,"PIGU, NTM, NRN1, PIGX, PIGT, LY6H"
