gene,symbol,g,lineage,agtr1
ENSG00000000003,TSPAN6,-0.0293314221576463,-1.430019788432215,5.72007915372886
ENSG00000000419,DPM1,0.0543398530523039,0.5263356759863651,0.0
ENSG00000001036,FUCA2,-0.3927281692486835,-1.794149156013455,0.0
ENSG00000001084,GCLC,-0.4655137928954729,-2.536314006226925,10.1452560249077
ENSG00000001460,STPG1,-0.0694762018199641,0.0,0.0
ENSG00000001461,NIPAL3,-0.1067322793588682,0.0,0.0
ENSG00000001497,LAS1L,-0.1919820170321719,0.31725972851156165,0.0
ENSG00000001561,ENPP4,0.1605073822989795,-2.13038676584795,0.0
ENSG00000001629,ANKIB1,0.0341975812895172,-1.5853542173149986,5.37376454576604
ENSG00000002549,LAP3,0.0152001475237631,-2.59019052789915,0.0
ENSG00000002746,HECW1,-0.0880458500259171,-2.7736465762322267,12.9248211594805
ENSG00000002834,LASP1,-0.2029210490339986,-3.7543486578225647,11.7438297935496
ENSG00000002919,SNX11,-0.3405975381976529,0.0,0.0
ENSG00000003096,KLHL13,-0.5532471565119085,-8.231444660720602,24.6416334097539
ENSG00000003147,ICA1,-0.2399345091448169,0.0,0.0
ENSG00000003393,ALS2,-0.0438511150029196,-0.80395714974957,3.21582859899828
ENSG00000003402,CFLAR,0.5437844227360927,0.7255581616174815,0.0
ENSG00000003509,NDUFAF7,0.1172748778877013,-0.61172768545044,0.0
ENSG00000003756,RBM5,0.2239849890014501,-1.3063854114806732,4.07363872829946
ENSG00000004142,POLDIP2,0.0034201770007202,-2.0115732597048894,0.0
ENSG00000004455,AK2,0.3627645507037862,0.25160982745115335,0.0
ENSG00000004534,RBM6,0.469664436798369,-1.1682712342970691,3.35111216502621
ENSG00000004660,CAMKK1,0.045938239029901,-0.3989054128083607,2.9131767970045894
ENSG00000004766,VPS50,0.1360004161894545,0.0,0.0
ENSG00000004779,NDUFAB1,0.056608634289289,-2.06867702209638,0.0
ENSG00000004799,PDK4,-0.0376102657215407,0.0,0.0
ENSG00000004864,SLC25A13,-0.0482253915834368,0.0,0.0
ENSG00000004897,CDC27,-0.1065319730922274,-1.577701273553215,5.34356507648669
ENSG00000004961,HCCS,-0.030538393227895,-2.08584400061453,0.0
ENSG00000005007,UPF1,-0.0186072994152145,-2.0156916755513974,0.0
ENSG00000005020,SKAP2,0.0627944047791002,1.5363365298417953,0.0
ENSG00000005022,SLC25A5,0.1096875274916508,-2.402178346854267,0.0
ENSG00000005100,DHX33,0.0411667570104176,0.0,0.0
ENSG00000005108,THSD7A,0.2889134658639593,-1.017368398558721,5.6749952525698495
ENSG00000005175,RPAP3,0.142109575165985,-2.4219298884526332,0.0
ENSG00000005194,CIAPIN1,-0.0405705882925011,-1.7906023894542176,0.0
ENSG00000005249,PRKAR2B,-0.2712731135022539,-6.458697232822746,14.1480916473929
ENSG00000005302,MSL3,0.3223888295143892,-2.471960606262762,0.0
ENSG00000005339,CREBBP,0.0392587622477665,0.45814409602307665,0.0
ENSG00000005448,WDR54,0.1818014696482112,-1.2874521300829285,0.0
ENSG00000005483,KMT2E,0.1171067906449761,0.05523248404537631,0.0
ENSG00000005486,RHBDD2,0.0746811686197867,-0.11815059338812262,0.0
ENSG00000005700,IBTK,-0.8964764842736727,-1.3769266914131824,5.507706765652729
ENSG00000005801,ZNF195,0.3755553766995306,-0.6291596450202976,3.56094566193551
ENSG00000005810,MYCBP2,-0.43603610848463,-0.24343922560215664,0.0
ENSG00000005812,FBXL3,-0.0833710694063197,0.0,0.0
ENSG00000005893,LAMP2,0.0295302340683895,0.0,0.0
ENSG00000005981,ASB4,0.1022514626315388,-12.149954303851047,31.1364912514331
ENSG00000006007,GDE1,-0.1919488514858022,-3.286403153621575,0.0
ENSG00000006116,CACNG3,0.1861026521146711,4.157251069377532,0.0
ENSG00000006118,TMEM132A,0.7418764501577082,-1.432140758058018,0.0
ENSG00000006125,AP2B1,-0.2813749050565404,0.6263411457243366,0.0
ENSG00000006128,TAC1,0.033908958671766,7.323644383548756,0.0
ENSG00000006210,CX3CL1,0.0740187217136809,0.0,0.0
ENSG00000006282,SPATA20,-0.3953476872405568,-1.6368962509697276,0.0
ENSG00000006283,CACNA1G,-0.2443374899525167,-11.035184408244803,31.413324448636896
ENSG00000006451,RALA,-0.0725466438782446,-3.072755291181137,7.12145128553645
ENSG00000006530,AGK,-0.2043819783691121,-2.6046745160605287,8.62424271275432
ENSG00000006625,GGCT,0.0372211845294041,-2.1594030161519626,0.0
ENSG00000006704,GTF2IRD1,0.143565918130207,-2.546084908779455,7.04278501465987
ENSG00000006712,PAF1,0.1245200886160221,-2.428056309874962,0.0
ENSG00000006715,VPS41,0.2027091451460997,0.3559521458046417,0.0
ENSG00000006740,ARHGAP44,0.1199635834582898,-2.223221193679489,7.70412732817168
ENSG00000006744,ELAC2,-0.0078701989929746,-1.5708497662287983,0.0
ENSG00000006831,ADIPOR2,-0.1178323304903046,0.0,0.0
ENSG00000007047,MARK4,-0.0509278724208429,-1.0426691801592352,3.31910935886369
ENSG00000007168,PAFAH1B1,-0.3685041901289194,-0.5984202419232924,2.3936809676931694
ENSG00000007392,LUC7L,-0.1133003688819319,-3.513313920842229,7.9429990293149295
ENSG00000007402,CACNA2D2,-0.415644573564269,-1.6969838604110474,5.776023005297
ENSG00000007944,MYLIP,-0.2126729783523105,-11.066154166631083,27.3885937835368
ENSG00000008018,PSMB1,0.2841567879524407,-2.1222112340351815,0.0
ENSG00000008056,SYN1,0.2373080398164276,-0.8616841964274036,0.0
ENSG00000008083,JARID2,0.0573328313497502,-1.3929974155597942,5.93231192304942
ENSG00000008256,CYTH3,-0.2861996247174432,0.0,0.0
ENSG00000008277,ADAM22,0.3768544507969942,-1.15176966536233,3.9914252696030497
ENSG00000008282,SYPL1,-0.0262335549898055,0.0,0.0
ENSG00000008283,CYB561,-0.1024220376090842,-0.1361568471778729,0.0
ENSG00000008294,SPAG9,-0.0309201944482001,0.0,0.0
ENSG00000008300,CELSR3,-0.1529742056608833,1.4615372233336654,0.0
ENSG00000008324,SS18L2,0.1789248621883797,0.34611234557982,0.0
ENSG00000008394,MGST1,-0.5189185630922973,-10.096274874572448,17.1327553341667
ENSG00000008513,ST3GAL1,-0.2988812677985465,-13.478415345257437,33.2041784802776
ENSG00000008735,MAPK8IP2,-0.1535612119699039,-2.1537162405461454,0.0
ENSG00000008869,HEATR5B,-0.1826964014064494,0.0,0.0
ENSG00000008952,SEC62,0.0342821630841191,-1.2602447523938312,0.0
ENSG00000009307,CSDE1,0.1065461716874637,-1.70783949492889,0.0
ENSG00000009335,UBE3C,-0.3432535984809495,-2.361242317654457,6.25336462939952
ENSG00000009413,REV3L,0.3222539997205275,-0.43766512105692423,0.0
ENSG00000009694,TENM1,0.2061240570050019,-0.7946455650647257,6.54723073177159
ENSG00000009844,VTA1,-0.1151187642231715,0.0,0.0
ENSG00000009954,BAZ1B,0.2777262458345637,0.37626230034315666,0.0
ENSG00000010017,RANBP9,-0.1708928010519013,-2.604686865351521,6.980641802175089
ENSG00000010244,ZNF207,-0.3844094132585092,-0.698654018772365,2.79461607508946
ENSG00000010270,STARD3NL,-0.0191858614043868,-1.445149731532736,0.0
ENSG00000010295,IFFO1,-0.1083679508526582,-1.85014463200169,0.0
ENSG00000010322,NISCH,-0.0546899989980633,1.3581336998148716,0.0
ENSG00000010810,FYN,0.0940302106689511,-0.5119589122432877,3.86201942353798
ENSG00000010818,HIVEP2,0.3217054364374523,-1.1627715398311578,6.2106155695524
ENSG00000011009,LYPLA2,-0.0557580493081701,-0.5159459402053475,0.0
ENSG00000011021,CLCN6,-0.1771026723934909,0.14196147636536985,0.0
ENSG00000011114,BTBD7,-0.0030462090001087,-2.02893256003333,4.77725610020976
ENSG00000011275,RNF216,-0.0477627041290166,0.312290695782534,0.0
ENSG00000011295,TTC19,-0.0132135807899017,-0.8271925104027223,3.3087700416108894
ENSG00000011376,LARS2,-0.3285115734776493,-0.6805231904025051,0.0
ENSG00000011405,PIK3C2A,-0.4190143108182425,-0.6118130018259809,2.94207557141777
ENSG00000011426,ANLN,-0.1868950373869735,-0.2228369377891367,0.0
ENSG00000011451,WIZ,0.2725753833617129,-0.32961234879725065,0.0
ENSG00000011485,PPP5C,-0.4604947665937793,-2.4923832631814,0.0
ENSG00000011523,CEP68,0.1480338216888305,-0.012491515132069198,0.0
ENSG00000011566,MAP4K3,-0.0804183538711196,-0.8145829781376723,2.24284501732438
ENSG00000012061,ERCC1,-0.2281292365142861,0.0,0.0
ENSG00000012174,MBTPS2,-0.2128344949296594,0.0,0.0
ENSG00000012232,EXTL3,-0.1400116312830868,1.2280470504451566,0.0
ENSG00000012660,ELOVL5,-0.2521876250497356,-7.217652261606146,19.1854973327097
ENSG00000012822,CALCOCO1,-0.1810066078620696,0.0,0.0
ENSG00000012963,UBR7,0.0301168114898458,0.0,0.0
ENSG00000012983,MAP4K5,-0.090736310061898,-0.67343309902693,2.69373239610772
ENSG00000013016,EHD3,0.0428502729246912,1.499572242211,0.0
ENSG00000013275,PSMC4,0.1339419828181826,-2.6433128586599333,0.0
ENSG00000013288,MAN2B2,0.2958885235999564,0.0,0.0
ENSG00000013293,SLC7A14,0.1077965742794677,-0.574881928698805,0.0
ENSG00000013374,NUB1,0.1022869380443331,-2.7874511046927353,0.0
ENSG00000013375,PGM3,0.0707473088999484,0.0,0.0
ENSG00000013392,RWDD2A,0.3058622550670533,0.6057194830176433,0.0
ENSG00000013441,CLK1,0.3116885211592481,0.1463769450612588,0.0
ENSG00000013523,ANGEL1,0.080026301977246,0.34261601471093,0.0
