size_8,size_14,size_30
0.6783710532732974,0.4904997140737535,0.6581616487898365
0.5223877460425403,0.5688815647120645,0.604434454198565
0.658691191926061,0.4301924592748292,0.6382832275492085
0.6384898800998766,0.7580765148939239,0.5636265966362022
0.5501489306530108,0.6718552191414313,0.6182004935447643
0.4582029707135964,0.7475103165280825,0.4812946276776607
0.49830088542686296,0.615874960073362,0.6052828308587405
0.5337380305949669,0.5332370586174565,0.6673455053767873
0.5153106635893103,0.6207172884918549,0.663761338306561
0.6191389412657688,0.6245302180252027,0.5504856453003342
0.755578438241648,0.6301569546192973,0.7599448024962306
0.5449194855731748,0.5835213749188588,0.6630323551736337
0.43913274190390816,0.6274956295357519,0.5944705899525689
0.5505406410243201,0.5240925276223645,0.681212241421354
0.5871008624153813,0.528915858688895,0.6501960269131299
0.5126140699755117,0.6128441418606329,0.5971944882349507
0.4539448377003631,0.660316678344135,0.6907410555744455
0.45836544637122667,0.6366989342592879,0.570028682781573
0.4552526712208793,0.4955355364251148,0.7146761091018996
0.6335140550352214,0.4989596749542346,0.6526335910962738
0.501913924178885,0.6034132982322373,0.6293306878715754
0.519319212183034,0.6214973605487036,0.598052910952435
0.741192827630264,0.4356684406114872,0.6223457586748135
0.6816089748213175,0.3960669685635684,0.6987850495777221
0.566610962566845,0.6896577127961011,0.605714875720826
0.6006074859441062,0.5560565275330662,0.7294814860608808
0.49076763040125837,0.5243037738829986,0.7492902503443135
0.5845842391957659,0.5897501021778478,0.6411633334363698
0.529924886402275,0.5454676611404765,0.6906927357560646
0.6205394646911138,0.5994459213007326,0.6868695455060636
0.7495297243087111,0.4816496956989137,0.6611677811779818
0.47670362241936537,0.7040543568977775,0.5958327752190384
0.578130763603392,0.5981119852039607,0.6963860167468634
0.4573928248826243,0.6429662572683654,0.5779509220048152
0.6034777389673684,0.5458223427749099,0.5334777561401158
0.5512876770080952,0.47426298860759925,0.7341973801256358
0.44941582606067476,0.6825903973430325,0.6206518603237408
0.6302125943213158,0.5510815396398532,0.5627869136794673
0.6258995514478343,0.6205167108006279,0.689803831411703
0.6588885711930594,0.6444759135043052,0.6200298634079662
0.5617762974869401,0.5969913775634619,0.6436500760752717
0.47141568266823275,0.6383444698601108,0.702288783791674
0.4533923045483739,0.5136229259614162,0.5365710616879438
0.6166925760495124,0.591732910540289,0.6087702509625326
0.6528675268495907,0.5927201717961663,0.5452898588056697
0.5172373599991757,0.6743467916155776,0.6581294069563366
0.603537113741976,0.7182269395759706,0.547945151961643
0.47312258937556456,0.6886707520633056,0.5694545334336222
0.5415857830257693,0.5656810797536741,0.7407166702729436
0.5430806492328933,0.5573063600987777,0.6596232427986083
0.4928021716656535,0.5211839579061612,0.5686273221847856
0.5246880570409982,0.626119491411909,0.6575787198747076
0.6459116839939689,0.5165943050017345,0.6301753079932271
0.5905597972241972,0.5576490852077387,0.5254658966406671
0.5996179063673114,0.623017814149657,0.6698342228816558
0.500690086859757,0.5206228383804039,0.7035450776036462
0.5831970675816307,0.7700332120937358,0.6703326189470358
0.5835127456132216,0.5226206943628738,0.5841395079664377
0.667071600053579,0.47728642253888764,0.6521353882243035
0.6069446161719199,0.7444205313934997,0.5028119086135068
0.5014464605250053,0.6439885509292174,0.7133022678330396
0.6669755614629808,0.6246232728509165,0.5718766206780488
0.4435631175749333,0.5528184771894394,0.6167252686676352
0.5633868865465261,0.5995201505019594,0.5716122462297233
0.5069225706572698,0.44245369368626764,0.6446662304788793
0.6691540103517322,0.6723283927338671,0.7239017598631675
0.4064797498961049,0.6024333997918663,0.5951886898567449
0.558850533557266,0.532008198269674,0.6239413001143705
0.7224437077335751,0.4645530448998657,0.7040058438859866
0.6082155712171013,0.5313302825947335,0.663049313261826
0.6257480019508241,0.6703129561511064,0.6804266740852936
0.4327488588709262,0.47496584769833666,0.551470330644081
0.39996161890925575,0.5658675757919213,0.542545095635031
0.609854924628811,0.5528395138051718,0.6992978063532297
0.6802023121387284,0.5163938990379827,0.6846505689331259
0.5869970531565227,0.5818171514533297,0.643403604216253
0.6014125014167516,0.6142090318348393,0.6882408323287277
0.46657936471137756,0.5185758468740448,0.6460512554995723
0.5333022291943577,0.49196375519904934,0.6744086564385782
0.505466901246398,0.6418418286915397,0.7069565512314577
0.6223082576873804,0.47339104235143,0.47512096054046077
0.5712482698456858,0.6282756586607318,0.6003647491576767
0.39560970122853834,0.6171604046242773,0.6551939404243042
0.5233433665110816,0.5213635633794593,0.5612536019837958
0.5659013202408305,0.614857002531263,0.7046255224808438
0.600164042670843,0.5322389570646966,0.513910784141998
0.703563903228133,0.4981863646667285,0.5728304165421643
0.6383227248685427,0.43179242269687695,0.4657365047963484
0.5192197390429284,0.6849308281729227,0.6159202102631209
0.641835367445279,0.5920533110774525,0.5880641247565763
0.6219207975710865,0.5292836130773907,0.7028303693171085
